State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,1079,1137,796,544,472,979,990,4888,5444,6170,5199,4513,3998,4984,4647,4623,4972,3898,3737,4540,4928,5317,4473,4401,4548,4451,5285,5279,4553,4697,4588,4164,5817,4623,4197,4818,4636,5736,4881,4162,6001,5897,4184,4293,4444,4382,4855,4447,4304,4914,4426,3972,4125,3692,3530,3553,3935,2820,2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,211,171,162,174,140,140,138,97,106,67,71,75,48,32,70,48,54,33,49,38,86,80,68,58,78,93,87,93,119,104,138,110,101,51,102,116,113,142,117,126,156,264,130,126,126,113,96,104,104,125,129,143,99,139,154,177,282,269,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,28333,27109,29293,24399,25262,25760,26718,38563,30430,27974,33303,37053,39127,39719,35482,36035,32766,34572,32964,40794,30538,27160,34944,34123,36684,30727,28559,30712,25013,45945,32874,38173,38961,32526,41404,35303,36159,34522,31774,26144,23713,39839,40944,39974,37863,29609,25707,16492,18895,32380,25173,28850,22475,31249,29895,31717,32108,41514,40220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6829,6851,6789,12700,10027,9819,9967,10580,10838,8199,5430,7566,9069,9031,11006,8109,7074,8171,10488,12067,10817,10144,6470,9966,10366,9310,10183,8349,10741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,10570,8664,8352,7424,7011,6938,8368,8337,8140,9202,7904,7395,8918,5820,4465,4342,5084,4408,2215,4537,1642,4496,2632,2920,3098,2740,4095,3228,2190,4212,12995,11635,10454,9096,9676,8958,12290,10537,10500,9966,10866,7259,8902,10886,9999,10418,15004,7882,11389,11723,9720,11161,8683,9460,8579,7709,6578,9558,10320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,14609,12132,12124,10175,11633,11925,13767,20060,16728,14193,20009,18576,23688,22490,20562,24049,21663,21053,17981,22684,13189,14902,14018,18573,21113,15919,19597,16796,13705,18548,23913,14686,18871,17095,20730,14870,25410,16222,17740,14564,17674,12229,16897,26801,25115,17035,20872,16331,19453,18434,16267,24748,15764,16477,15364,15127,12853,18108,25772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,30607,27731,26679,29873,25860,21625,25207,26702,27147,28873,29942,25807,27560,32157,30399,27719,32095,31672,29293,28878,25106,29834,30770,30891,31187,28118,31411,27888,26248,35941,42550,39837,36327,33461,36217,34586,42987,37256,37892,38408,36630,27332,28157,32123,34357,40905,42435,36948,43923,41106,37174,38660,35519,33970,34457,31317,27693,31221,29689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,21839,19038,17996,14353,16169,18954,18954,20555,19887,19758,17878,18613,18608,10947,12347,11553,10890,9716,11243,13524,12464,12963,12655,12934,11181,10416,7527,5010,6191,7818,16934,18280,18432,18163,17127,16470,18442,17489,14246,14913,14564,16139,16981,14031,15420,14616,15080,12553,13445,13390,12200,13188,11484,13539,15216,13971,14442,15468,14286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,9542,7852,10199,8817,9884,11420,12348,9000,10467,10492,9379,10265,10810,10977,9586,9539,6095,6991,11205,9493,8169,9808,10518,11292,10138,10169,11289,9015,6988,8519,8915,10823,10988,11864,11747,11324,12275,10567,9734,12056,9501,8593,8231,8248,7395,7747,5671,6462,7164,7897,8199,7250,5339,4877,5216,7912,11157,11587,9591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,7807,13203,9297,3948,3339,8387,6209,6691,13867,14988,9733,7368,6354,20858,17884,13315,7677,4739,10532,11386,5797,6994,17311,18048,16570,31272,20847,15077,15595,11415,22802,11682,15319,32829,19768,19784,13584,16272,23928,18949,6120,11409,13804,6606,14823,11592,1976,11904,20169,17731,15018,11515,6797,10843,6632,14864,11711,10886,7542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,62415,69208,67678,63011,71354,87692,82695,90810,92806,98712,91769,100529,98024,78121,101543,105784,128649,88278,121308,107096,103522,118359,114163,121624,116014,106294,113416,92992,85043,99844,111476,124919,85537,99112,84070,110811,142640,136921,113370,141344,98167,68337,97324,88105,88702,95864,100481,92557,98536,92778,91849,122382,107373,91959,109201,92144,93082,100850,103828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
