State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26102,112532,128688,146152,131136,150230,146317,108433,151238,133562,164812,165578,141785,172341,137016,164734,181041,180702,168069,178110,163598,174634,179127,160658,175524,194818,173859,164092,177156,181059,160015,179391,161171,179330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,394,9931,8017,11181,14166,11407,12572,14707,13757,12614,13272,15554,16179,55829,32196,41636,40475,39571,60943,66113,35255,47766,46212,66116,11221,65141,25604,11863,11841,31906,53647,46304,49653,45574,40330,47133,55922,45234,59782,47218,57487,53719,60237,51880,61928,57138,60832,53701,61339,56437,61853,53212,61402,45251,60340,52236,56628,52788,46437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48307,70921,117181,108272,105240,119409,127095,114555,127325,126334,105434,135704,105147,124404,28777,13242,94734,111662,129208,117432,135939,127010,138657,139851,139114,144204,142612,126641,142685,152043,153443,144320,150551,153422,152180,146265,150655,142297,149048,150017,153140,154377,158004,156699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,586,36540,39893,49586,65496,55386,58582,48928,48040,57488,50097,62488,55552,56875,66032,42216,53192,73464,51436,65676,56104,60292,69317,2076,53166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0,0,0,1453,2293,2132,3983,5801,4808,4426,4113,4200,22935,32490,4641,79031,109371,110182,143373,164699,173339,188239,166124,178651,152652,142886,129671,150251,188799,225547,228682,283290,197365,299627,147836,256879,281789,229964,131076,152473,196925,278941,324615,291332,318700,343048,303305,330581,329075,228540,309636,344155,293619,302194,326800,306773,329999,338675,318655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,8,669,1693,1498,1624,167,0,0,15106,38405,35654,48695,107372,109482,120211,126822,125146,109374,112360,112911,128164,90306,122923,116919,120643,130279,115634,128458,126427,116923,125902,127761,139149,127035,113536,122158,139148,135160,123113,142897,139799,138645,133948,137569,137437,135843,129623,140873,125134,125159,111885,132904,125900,144970,145426,152657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9978,85290,75854,65615,94731,88307,84635,104624,84647,88038,104588,86597,93376,93970,89349,89730,104205,87557,87605,101089,81658,83807,105567,98302,98025,107175,94027,98062,112317,87428,97021,109182,98630,86853,111401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789,46014,43233,80577,101592,82824,78541,95750,85587,83019,100493,84196,96886,113467,96418,88075,111534,103635,105041,113625,106707,105172,108718,98164,98215,115033,100791,108164,76456,113523,107228,122511,61680,77027,72343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15477,27744,60997,108501,74080,62997,68894,101057,134819,219376,205037,214610,298644,309008,309152,274130,317795,238255,249564,338080,377308,354142,340563,406822,392121,408054,394485,413784,426332,418065,417249,417016,420029,415742,427226,425810,424073,412722,420486,428474,440248,447500,443192,439915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,0,0,0,886,1082,-64,0,0,0,0,0,0,0,6536,44596,65153,64335,80249,84522,94196,63082,66048,96917,66321,62676,43911,81009,89684,72391,85480,79485,84372,91605,71481,66321,78650,99325,97267,86643,105452,89988,91127,105696,83344,106796,91856,93943,115815,99075,98682,115540,72549,60795,71736,105655,107976,97798,72300,58884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43182,71164,82393,95028,64842,88042,103399,83736,87988,90667,82617,90778,97054,96677,106132,98682,98067,112902,97729,92214,114032,87508,85814,114173,106350,99186,112551,104493,105195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,1182,37917,41455,47008,39087,41000,34645,42587,74941,89372,71918,83192,128776,155455,69006,60825,188752,156254,237006,253285,243746,251538,260072,226122,261888,231296,176576,115826,145951,284643,302746,298041,318190,322299,309629,282407,327604,339846,335757,336500,359036,342526,351658,346962,348784,329533,347851,312569,355948,334373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,0,0,706,7017,4555,8585,9274,13321,12131,14042,46908,70670,69775,78793,103490,144387,172988,221730,237431,201340,210259,192412,159870,178577,229730,255910,233632,239397,256306,241794,249982,298252,252926,282445,305527,276714,369977,310304,328512,386844,328597,421845,413686,423959,423797,442937,440606,445288,451622,454806,437620,446761,427277,467651,450141,466457,434791,441029,448718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,0,0,0,0,207,255,17,0,0,0,0,0,0,0,0,0,0,5039,26533,34412,23115,48607,35722,53479,46759,20638,254,78448,89635,133993,112845,155507,155028,105152,114473,176182,146195,160882,172847,171610,175013,161488,113451,88327,166328,154481,175798,165349,183055,159040,165192,155806,179055,168451,170319,181726,175893,184997,191483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23227,69916,17104,48900,58844,70856,53062,40186,51348,73406,74912,45399,67204,56080,64273,15363,47880,-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,2674,3548,3717,4221,301,3691,6107,6968,5286,4579,5102,4823,3112,3941,78108,174766,181447,191913,244304,204484,131893,157462,182395,160505,233815,278637,421260,365282,401416,414489,611503,602575,629650,623208,702446,698311,721262,709967,641517,743282,769361,769971,794521,774989,807739,796157,785731,811600,822134,808770,813462,796798,787753,822483,823277,842044,867302,870187,872749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,468,880,852,94,0,0,76,26162,52110,67229,123406,214291,197186,185645,212875,198220,189846,191120,145677,278962,251939,338056,376882,410268,431984,431569,453763,451945,476813,485168,464760,516666,457627,471343,511535,531002,530708,520792,556829,525453,533920,554544,530071,558014,541026,545434,543379,553573,535952,566879,548246,555909,583883,568390,551151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,105,770,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5660,51886,111885,153222,135551,102737,-1107,-1124,41776,165130,148175,173895,163909,34714,124717,165048,240773,258656,297814,284525,269327,298424,287927,251718,298369,290153,257523,301038,282514,281996,289930,281682,263045,297732,289401,261037,309357,332779,378224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40201,105722,167823,207582,256502,130321,300448,379842,375656,392031,405846,384141,391670,398535,371923,348485,421660,398994,430593,429577,425682,434024,432036,414881,402823,400353,410907,411571,440109,403523,430597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,0,0,0,0,0,0,0,0,0,0,0,0,4836,74765,66437,98782,85506,102103,154249,76758,125071,196535,192897,203636,184824,236905,224429,189468,223036,150955,252065,250424,244334,238323,265782,264092,276085,284220,285716,295742,295361,269003,285549,258633,295272,291357,287938,286019,291932,295072,277729,267334,300992,306430,316081,293455,310966,319562,305826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,1828,17422,27708,39220,36013,38097,35456,37521,32497,39362,46222,31298,36170,31860,21776,36927,43615,38171,38267,43072,39105,35421,45106,40541,39899,44776,35226,42418,47432,43559,41378,46317,40231,42491,53287,49337,51163,56067,49986,51351,52283,50639,52929,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,0,0,0,0,0,0,11497,23287,44091,40475,28693,27667,31500,48321,43409,36432,26568,46468,45301,39301,22269,22523,40206,38098,57614,85377,89276,57728,63616,64745,60762,44346,59605,74946,70444,72938,58691,65526,72556,63598,89744,86159,94484,79360,93660,86016,97341,85051,96886,69385,96588,50293,97808,88408,99332,85347,100674,85013,101502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,1725,37596,35547,64894,92144,113356,118450,117864,128208,113175,108111,107201,113696,101404,116513,116623,118477,118109,121546,114802,118793,115234,117350,120424,120370,115258,106305,41093,98586,120120,120059,120168,129991,127310,123966,103535,127657,135416,127039,132653,138812,120962,149845,121994,98807,104666,106173,100919,105900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,6026,19678,26394,38147,39819,43164,64158,88456,141534,153722,239347,412939,583752,910177,1272083,1899798,2111121,2701762,3024126,2775827,2739169,3007589,3131148,3202549,3552531,4075563,4380109,4753933,5586968,5602161,6104350,6422132,6479206,6410499,6693877,7075436,7086674,6596992,7067809,7610256,7862349,8028853,8145429,7959622,8222774,8160810,8214626,8458589,8426491,8355220,8434433,8268698,8061822,8244433,8337559,8336886,8426753,8418968,8438068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
