State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,77688,70403,73984,73227,76892,79778,81379,82252,80804,76228,85735,89445,92776,97216,111472,118011,121380,85968,119334,113729,113407,115694,137262,152320,156188,132234,146356,101447,87409,124844,119701,116219,95136,125883,106260,139475,164045,179013,159820,167399,141037,104604,113189,108868,112080,122267,147673,127411,132857,136273,132007,177400,156129,140163,155533,154044,152847,173310,178877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,33020,32237,32864,34418,34491,35036,37080,37444,40029,41716,41064,40628,41490,43861,43952,42898,47471,51314,62925,64626,92366,100323,108434,126417,124741,130268,141294,151533,160014,131790,102981,108933,114816,98173,100880,97861,83498,91180,91481,93840,97688,100876,111585,127073,126589,109786,109457,130915,160655,186177,205653,221586,230437,253088,261461,265782,268926,288805,284744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,24556,24199,24089,24007,23168,23060,24315,27363,28677,29971,28494,27156,30826,32102,32017,31342,36021,38768,45814,51858,56145,59181,59095,67925,65106,69669,71973,76758,80134,69984,60812,61906,63036,53578,51764,54693,49717,47036,44517,47598,48674,53158,55332,57491,58085,63826,55594,67602,99311,118682,140945,153234,148545,158397,163577,176667,185159,182369,185892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,4123,3855,3670,3798,3674,3499,3529,3349,3459,3280,3730,3941,5702,6031,5915,5811,6526,6852,7540,7928,9088,8483,10392,10707,14676,14844,21818,20517,21727,17714,13869,14307,14248,13513,13084,12949,11792,10349,9895,10142,9920,10929,19560,21917,19571,22986,28423,36181,58223,66668,75325,81059,91138,135460,153656,150793,179121,218947,220334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,50751,48648,51423,47591,47022,47438,49311,61073,53358,51326,57023,61912,66566,67629,66669,66857,68110,64140,70514,82531,55822,55159,69516,65792,77261,73167,68813,66840,61978,77084,53391,59493,61359,50100,57565,51655,55609,48522,43807,38509,36286,53539,65077,70509,71188,74724,70058,65820,71481,85039,84675,90831,80760,96925,97126,89852,92154,101450,102050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,38992,37174,36785,39147,39291,38299,39754,37685,40791,40698,41620,41912,44819,45748,44928,42358,45170,46692,47825,44717,64707,68263,69667,74654,78816,79343,102343,102199,104615,129814,125516,128100,131568,138255,148325,152242,152597,149694,147538,148444,142352,136129,144121,152633,189772,151854,150707,151977,114723,119238,134481,135148,130798,151597,173375,158293,176183,155241,155001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,53354,52769,53590,52762,54148,55636,58117,58183,62101,64611,65043,61247,59302,56501,56959,53325,60502,63357,67677,74298,72495,73207,66642,78596,65032,65453,69642,60278,61835,66832,65263,66582,68433,69750,73476,72548,78433,72315,66413,65168,69462,48004,46805,50420,51782,46956,62218,59620,60565,69073,75296,77285,73317,82502,87254,88992,93007,99805,105179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,38447,35723,36002,35457,37440,39019,42103,49500,47752,45515,51782,49264,56117,55059,52381,55834,56373,59569,59254,66329,45823,45447,51599,52085,60086,55151,54649,47753,46241,55480,50546,41675,46672,49263,52990,52076,66229,53175,52661,50889,54124,33276,41124,54160,53460,48562,59415,58135,60165,66647,71897,80337,71426,78471,77495,73198,73751,80858,90388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,59784,56575,55672,58874,55936,51675,55812,58337,59840,61658,59420,55423,59882,64648,64263,60423,70099,72689,74889,76896,121124,129795,126910,140252,139329,136042,122771,116377,118029,154425,151630,157261,159035,158153,156736,160885,167218,161828,151240,159186,163025,146148,140389,132348,136776,160078,152966,156513,186763,153514,163928,166773,162610,168346,164143,168598,150033,160001,160433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,59100,55209,53745,51374,52769,55858,56828,56539,56320,56624,54309,53960,56203,47225,50587,47458,52481,54719,66270,73877,103039,108871,109127,122339,114761,114217,116002,116158,122565,115859,102166,110847,113219,106055,108905,109943,124237,116010,108882,111261,118368,99025,99500,112635,118153,130906,130017,140683,158418,149750,159811,176562,179189,208620,221254,238946,233743,241883,250423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
