State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,536127,576551,624035,655743,737326,778662,868621,979649,1027219,1121210,1203225,1260009,1237471,1176722,1175830,1123588,1204616,1199778,1196435,1170615,1076174,1053097,996628,956269,1056089,979924,920227,873837,972786,1007747,951868,999478,1003295,1043124,1038608,1093289,1136534,1095556,975542,1011875,1040261,958425,1051213,1001534,955972,972710,896138,968652,1003219,956553,962240,986310,939024,1063511,1108134,1011357,1045034,1034628,1127462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,219758,248273,281781,297815,333685,357502,399896,434632,454467,531512,548640,570398,580410,541215,530276,472567,420969,394286,436149,499345,482288,487854,471776,425164,451395,433689,396365,412377,459359,465877,456002,460594,485267,521235,523523,538395,576285,559146,527435,558192,576102,505274,538368,566838,526391,535512,499753,543800,555489,511289,577423,635117,654528,680051,723942,735055,779945,747918,890423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,373664,364020,373666,367759,391306,440802,481093,446454,490591,540660,574542,605775,626853,597207,578795,490748,505408,497279,507973,571266,481990,422564,400519,345858,360762,354756,307990,343155,347982,338559,352645,373151,338755,386513,415552,367750,360921,338569,325041,302023,314868,273862,307432,284722,260117,258695,269274,291695,292523,292425,280413,285318,268086,288274,291483,280421,276404,279095,321378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,153807,156328,163826,173508,179666,176734,152219,197083,201137,240050,252265,248514,259546,250136,231423,209199,248673,221936,215021,220854,204062,202235,191042,177528,193323,177681,173524,178271,190884,195826,191704,196251,200899,213053,221269,245572,248009,239307,212107,225390,234171,216705,236124,231384,233361,240853,217166,235876,233165,214261,239057,229048,232701,235703,262278,276867,279935,296673,356460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,1003771,1064610,1050301,1128773,1201445,1156449,1245597,1440390,1539750,1784110,1894224,1938558,1996015,2072164,2068614,1854766,2121366,2274100,2349710,2051384,1862179,1847639,1629186,1472328,1661309,1441820,1496106,1560707,1506424,1622888,1654692,1596766,1619499,1637028,1649015,1737257,1687569,1857072,1679040,1558295,1625863,1347228,1475464,1353179,1393140,1367497,1346690,1430621,1369823,1315265,1482948,1535704,1585876,1504969,1547175,1594208,1718303,1720323,1860683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,80612,84630,92131,99924,108193,115712,117709,129884,133913,138632,149074,158329,162204,157258,156666,154583,157185,161465,161964,157883,169897,165351,181781,185610,208279,221026,188754,231953,216402,260271,273581,283708,344350,350562,381130,391216,386953,411405,367039,361211,357716,364097,404456,414970,383625,386339,378026,418907,415247,408509,447428,464018,430920,435312,432523,457124,440725,462410,452631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,73315,76520,84796,89004,94255,100979,102826,121287,129702,147720,159584,164689,180283,177629,175541,141854,149642,135168,139642,179631,162955,177238,159832,148327,162784,155581,157872,174143,177667,198687,180566,182961,189963,186562,190998,198577,200827,219008,195457,202525,219031,184783,203489,204345,201801,211830,189179,208439,202744,203604,217625,199132,216558,206126,217227,225969,229508,232718,312989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,522,775,819,1139,1315,1475,1554,1657,1635,1976,2083,2047,2166,2162,2162,2288,2686,2475,2528,2620,2549,2747,3283,3930,4572,5001,5333,5191,5268,5538,5821,6470,5789,6646,48041,101190,126275,73517,89581,64818,67557,67227,74494,73569,80988,75061,70451,65886,62423,54203,54509,45125,48370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,382980,422582,459179,470503,505780,563563,626782,699131,711046,788222,821261,863320,877742,929555,942595,894795,895140,745743,793936,880367,874651,811399,762073,710144,727492,717041,686621,668667,763254,797304,879335,889956,964201,924909,917002,970995,1017096,987593,871603,947027,971656,924496,984715,950714,938628,927535,816993,814887,797534,750783,758696,787337,804084,831741,878128,871834,926828,908204,1010794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,186121,199324,221625,218609,236502,248244,265810,285350,315017,328944,343007,352144,352111,360450,351995,331518,319516,292501,312196,332631,284941,264845,263011,246314,256402,258499,244526,239750,285439,301369,291771,318200,312165,331511,327091,357493,374298,360264,337078,351078,367359,344882,374171,374189,362346,372082,358198,395658,435086,405516,427186,424958,430277,478611,490111,448557,466365,466879,514487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
