State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
IL,914648,899157,912473,912344,944485,1014492,1072076,1030722,1006199,1012703,920303,843847,852205,884606,874930,845574,862231,860555,841562,845402,844481,796603,778512,848229,833205,811110,804201,783231,745182,720967,748159,757572,698647,812832,825387,826679,919858,974920,949046,958832,1016555,983729,986832,1010087,1069538,1047532,1045398,1091382,1103163,1014972,1069037,1052224,969294,1026925,1017855,850430,702467,685000,704574,,,,,,,,,,,,,,,,,,,,,,,,
IN,794942,798090,785052,815496,860401,900562,967518,930848,961526,996123,1006824,942253,1050876,1097874,1038072,1061168,1062942,1109953,1074576,1171644,1156965,1150611,1007163,1105128,1209499,1193273,1130131,1166555,1267244,1292598,1361800,1338976,1291098,1319875,1297228,1344410,1374505,1423469,1447976,1477167,1595037,1569235,1547530,1570700,1614210,1594399,1587100,1572084,1558078,1365413,1449371,1333442,1193465,1198611,1221492,1007472,948386,929271,985668,,,,,,,,,,,,,,,,,,,,,,,,
KS,15724,13478,14595,16716,14827,15282,13680,12231,12740,9771,10701,10817,12416,24625,39107,62280,73379,89517,136849,147482,191574,212932,212511,231156,274843,259501,251692,267406,269294,267926,271741,268537,253303,302570,300955,289709,338314,310907,309382,329308,362797,354647,391664,389464,385498,379823,364212,396333,371804,356079,359908,346521,307585,326817,316572,273416,253121,216747,227665,,,,,,,,,,,,,,,,,,,,,,,,
KY,286738,288113,287376,368036,401711,415492,426294,434203,444142,470838,527054,550397,583808,573386,593822,558334,617452,613466,617183,609287,641685,663926,626978,637850,670985,716929,749913,746716,821777,767632,803503,802748,812932,921147,896399,929379,952091,977760,958990,987592,997621,1013055,950941,943652,961759,986263,1023263,1020709,1024816,937106,1009823,1010623,909705,914774,913452,796484,736584,639356,655909,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1774,3747,2518,2456,23727,64251,106718,119071,159097,171903,172355,212090,207701,208871,214236,223538,223457,230869,216826,205405,226065,225283,227687,253263,239990,232109,247978,256716,253518,265214,249800,262470,252519,259750,269993,238811,228055,209973,174221,140513,142267,137818,,,,,,,,,,,,,,,,,,,,,,,,
MA,118745,120459,119907,115969,123421,127922,112103,101438,87696,60429,21393,13054,7677,5151,26447,24484,3953,4008,3163,4632,22845,26644,89641,96877,116021,110246,99755,117626,116851,121873,114004,117917,112044,99579,101755,105363,113698,122896,109862,113610,114658,109014,118358,109373,105075,119333,112173,120168,106897,92056,83850,42963,24036,42208,29871,24177,20115,12407,101,,,,,,,,,,,,,,,,,,,,,,,,
MD,226566,230214,252310,275328,300629,327393,339046,350715,362795,355397,311292,273953,226421,256761,217510,197160,245318,189728,209720,240709,235710,210368,217256,232600,270158,256210,275042,288901,301217,295785,286482,274761,247493,261730,268862,289562,292476,289686,303896,305186,312162,318851,325834,329590,327239,329304,324657,327979,309294,266860,266067,241190,192334,183191,201220,165994,162931,106973,124191,,,,,,,,,,,,,,,,,,,,,,,,
ME,20408,19505,17821,12541,8082,7992,7401,5618,4592,4272,2166,2301,1402,1418,1957,1311,1050,603,719,778,3008,3141,6935,5895,4951,5093,9294,6849,6906,6757,10413,15409,27500,17377,17631,10995,9827,8966,7294,6864,9980,7875,8000,7481,7336,7059,6618,6583,5908,1652,2279,1542,1299,1657,2142,2588,2194,2168,2113,,,,,,,,,,,,,,,,,,,,,,,,
MI,653141,637466,695978,758970,780945,830191,897159,870628,933607,908860,828881,837639,843677,791284,709962,750983,717683,692982,671257,758928,759026,757492,711387,706594,747632,781884,811930,840236,830904,790246,788043,764149,707470,715473,800996,786684,796303,781123,826852,832638,799800,789703,739866,747940,773825,799463,773595,801178,799969,735907,749285,691150,621633,658172,618479,617280,471236,499439,506105,,,,,,,,,,,,,,,,,,,,,,,,
MN,131265,130948,131206,138716,156354,159987,171398,161175,150563,191156,179727,155594,161572,180736,188665,191490,222441,264929,255741,229460,242420,244190,212528,211168,231376,226094,201382,255980,303592,324899,325469,301476,300773,325850,332848,337972,354571,341636,357030,341475,373775,353305,360822,390691,378775,379114,370814,366208,359359,328678,315438,315604,257875,267695,313073,271570,261250,257594,261530,,,,,,,,,,,,,,,,,,,,,,,,
MO,170906,158523,180520,180670,183420,189620,190661,188991,212261,244510,279245,294143,334355,383451,382005,430226,468324,503909,485655,512505,531438,536042,523817,564360,593295,529684,512338,528040,547281,550407,539572,533887,522331,467752,539958,593728,631084,670589,695687,687170,688905,716378,725679,795634,807466,835663,829054,802879,792918,765617,801625,825650,768297,806549,780707,696401,639860,709796,668188,,,,,,,,,,,,,,,,,,,,,,,,
MS,753,655,708,763,729,1020,898,962,7317,14757,13225,13498,13952,29485,34581,33355,42531,38658,40994,59765,74997,82948,100518,96091,103950,109381,108771,122372,129622,95648,103944,95302,86785,99325,97270,103786,127780,132171,125930,137608,147481,198275,154339,178949,184992,176286,190057,185063,177166,141675,148463,107546,82456,97767,116537,71626,61219,53779,60015,,,,,,,,,,,,,,,,,,,,,,,,
MT,3999,5149,5670,5372,5811,5537,5805,5484,6719,9648,12023,11475,13182,15243,14717,18630,42179,57814,57597,63407,60228,62539,48650,42786,90265,99055,133247,132937,181480,179360,168848,184213,194093,161903,193689,175304,138751,162568,186099,186770,176779,184401,166322,188981,195620,199495,194307,202480,203260,172812,203339,165687,157308,166104,175357,178421,161938,156073,152295,,,,,,,,,,,,,,,,,,,,,,,,
NC,231342,244241,260487,282911,295013,325866,380312,405418,446588,472767,491383,484598,492784,531706,522825,476522,544481,548103,499873,558638,624696,655284,622104,594999,558943,550505,583153,500936,515435,591439,568294,567411,649160,689419,632792,662870,744253,765927,754322,742398,786114,756311,770928,771618,782692,811939,777871,827974,794693,678673,749091,624783,534713,493771,501592,405525,381761,350286,325121,,,,,,,,,,,,,,,,,,,,,,,,
ND,30531,30011,28384,24937,26502,24746,36034,44028,48467,49996,57471,67672,72820,71095,76484,67943,91487,107264,129778,148077,163322,172400,198916,213444,256659,301957,310868,319324,369782,363811,374517,378936,399188,399919,402452,399757,403951,385988,409226,411323,424563,420001,422809,420832,398381,431133,414838,420719,424615,423267,409684,394771,406344,393193,399195,408091,394579,397875,407262,,,,,,,,,,,,,,,,,,,,,,,,
NE,20010,18164,23047,24513,23650,20815,19748,18303,17192,27082,29716,26322,33509,36867,32763,32886,53712,59344,59813,77604,93942,98584,96746,104815,124257,115478,109935,116462,139344,131097,142021,152008,140933,166207,160506,179482,178884,193334,204797,198490,206938,226691,217939,227290,223624,228667,227444,216872,234654,249593,254552,285384,272587,292956,276544,266319,240465,233809,264072,,,,,,,,,,,,,,,,,,,,,,,,
NH,5390,12308,12330,11520,11755,11171,9655,10247,22297,26956,27149,25496,30649,28325,25275,26187,20331,26470,20409,29080,29275,24226,27624,29383,34056,39719,25052,31550,32754,31544,31544,34784,34679,37485,33580,35576,36142,44527,38623,35408,44033,40125,39845,41633,43446,44169,44807,44899,40241,32844,33827,24489,14191,16778,14867,10989,5277,3617,7798,,,,,,,,,,,,,,,,,,,,,,,,
NJ,168775,193959,195944,193035,206555,236647,236575,198642,188734,141206,123291,91498,31985,66132,82477,60498,70596,71011,60820,59195,68692,75464,78375,91632,84013,103310,77882,90538,81127,94831,80800,61891,62741,63133,65071,79902,86606,99889,86235,88984,114734,112207,104849,106857,112707,125332,116093,111799,97671,59563,71961,49592,25589,25910,30731,22925,17455,16488,16732,,,,,,,,,,,,,,,,,,,,,,,,
NM,4064,3303,2451,15765,31271,44277,37029,44143,42971,50226,99380,120695,123807,134490,140947,132535,137492,153922,145738,152939,202870,196933,225549,263654,252868,268374,241600,260668,266124,279835,275661,234301,267469,270273,278385,275217,279149,288506,290367,298105,305513,297096,284132,305641,309418,317916,316221,296067,284346,306162,267474,284737,263439,256377,215348,215703,197083,199114,136824,,,,,,,,,,,,,,,,,,,,,,,,
NV,3962,3740,4218,3387,3234,7892,10862,9379,14582,16679,17290,36438,84363,90083,100463,101298,111294,115938,91272,99307,93216,112197,146479,140246,155582,126210,161583,154875,183513,170222,165306,180259,178836,172371,180270,162497,169470,166666,184243,181616,199339,188572,164775,182553,193634,197799,84225,82871,88619,83812,80228,62701,52850,64838,79230,36635,30765,27297,34996,,,,,,,,,,,,,,,,,,,,,,,,
NY,691728,634013,620891,643946,739638,755238,731385,726567,700146,656531,598940,435654,355384,369320,374196,312508,363821,336851,297344,315174,313708,308653,288982,268018,299885,301368,253341,294305,332998,363802,349779,352268,355983,326194,316750,305274,311795,325232,337438,317998,330844,306993,280584,286179,276470,256879,256345,258450,228985,155965,167094,125181,72914,68707,64655,41241,29679,19553,16710,,,,,,,,,,,,,,,,,,,,,,,,
