State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,353177,348191,369692,373975,391581,410242,432553,412949,439115,465103,528914,587854,650889,695256,671671,593652,607311,617684,627433,600818,532945,496635,472074,486226,517865,484616,485939,516249,533782,571851,505810,492584,494384,517723,520692,482528,502599,509621,542867,568415,546998,566433,544694,570714,590242,603981,538678,531469,507179,508869,479212,459937,447633,455392,458411,472054,445413,439761,448501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,152342,168340,163744,168899,177055,171429,180137,193495,204211,216022,230972,281791,304132,294332,258683,222178,258409,263043,244392,223074,198340,194633,230398,177768,207391,209101,245667,234781,280038,258047,247447,236445,232092,239297,253439,243867,251711,256438,253121,266171,259350,227875,230101,265720,260353,263938,235253,233431,201971,202916,193846,191347,172727,184586,187852,196391,189160,183609,173571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,713352,715745,739170,752116,762674,791646,824626,845652,899703,941717,955898,991998,1074861,1122745,1082014,1076579,1143534,1170987,1215137,1038344,906659,817824,745764,747226,782143,812411,848190,879671,911829,911714,871782,873873,876843,903733,904323,927445,949317,978548,982332,1034821,991862,980720,992007,968414,979694,978894,926618,919768,836361,803960,786766,764328,749976,804230,821036,832182,847442,843430,877413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,381283,374735,391131,397851,401486,424101,450411,433071,471719,498747,512466,527837,583054,602583,575569,556785,599225,584823,601144,567901,498349,450175,467279,460833,488996,481704,494237,487282,501511,503752,502903,509447,538597,547209,565003,585943,621533,614840,613318,641002,657500,652093,650633,671245,688025,700917,680945,678958,643535,592390,592061,582607,586331,579499,579757,566805,588081,572938,582564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,403574,403064,420475,430599,437130,461941,476235,494891,544102,561646,571688,584900,612120,632136,610794,613301,644310,667599,694616,658767,560667,535243,543957,526714,537151,548611,561794,583414,607354,603202,586562,580164,600605,620426,652393,670662,701147,696979,744664,769363,674357,722516,723507,739036,744126,741961,736536,730638,675205,644923,634295,613911,591204,594202,609744,616631,608539,598674,610683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,142266,142103,155263,173232,180787,174275,185309,207865,234518,253123,272674,288999,330721,370581,378835,377776,420661,477480,511668,451900,382612,352407,314441,308251,311980,315257,335829,349660,380731,365367,374048,384670,399471,422266,401065,394455,417839,432969,461773,472228,455825,479661,428283,480507,480422,455899,469598,460954,422379,399814,405151,397965,405136,413431,425171,431260,477904,491482,465200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,106971,116813,120089,121231,123327,110675,118225,111571,124354,129121,126169,133161,146327,156521,158426,154673,166959,163936,172332,186730,163682,143907,130099,148093,140833,151737,133303,133216,135516,143576,142439,135154,139897,149526,148716,155992,166438,160519,159543,173185,165428,156398,161571,157136,176136,182921,194283,206442,192417,182759,170851,177513,172968,174065,169955,166962,168018,173178,172723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,418929,441038,462642,467240,473652,494612,535629,547089,565296,588078,618277,647225,708734,727331,685130,636312,706387,754860,743733,735741,658887,611184,600316,638834,705548,694797,730781,761413,799693,745095,715480,705946,734150,759709,769268,815328,852728,858408,868642,863324,906487,900456,876330,900018,930984,947056,918121,920732,883566,800208,814829,772239,754271,794905,804797,799105,812535,813634,838360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,101649,96651,104594,110136,109579,106897,112532,116513,122200,119620,115352,119462,120172,120862,117592,116903,116538,115140,120575,136221,126840,126589,122775,124191,122464,118168,118999,116746,115240,118036,112054,113247,117579,115068,116351,113693,118582,119917,112773,123412,119333,137162,123512,121722,133016,136531,136542,139972,137092,127395,148252,184855,199775,222215,235848,193853,164721,183453,189858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,136000,138374,141446,151176,147140,140541,151343,158852,177862,182782,192242,195489,211472,214162,210070,208267,229551,231193,246421,224645,189490,176315,184673,195549,187410,189263,191720,200556,215764,206709,205026,200522,203315,199079,206553,209703,232216,230493,243768,246043,221604,215468,222228,229099,233553,228762,228780,229195,219571,216122,241883,229973,231966,231249,234624,234167,234693,235091,242338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,83382,88309,94812,98991,97142,96289,108409,112063,116297,129831,139870,149111,153180,150480,139001,137438,159996,158532,158511,137488,133609,122799,114853,112789,134577,129981,156111,166118,167452,173652,159032,146347,146937,147279,151807,150696,155699,159259,168062,173701,168959,166694,176568,200220,205481,190420,167795,165020,160994,154191,146375,146117,136016,142220,152609,150903,145031,152058,155158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,955611,969056,1039261,1062840,1079414,1072225,1152190,1252470,1311960,1372768,1439875,1417667,1551304,1578425,1414664,1269139,1348518,1365149,1361982,1317117,1249507,1159200,1191430,1177466,1271714,1191379,1272286,1273285,1259554,1258947,1127887,1125667,1123664,1089682,1169163,1146903,1120749,1134515,1114078,1159974,1190347,1193427,1178970,1146359,1164799,1225835,1175190,1241757,1216492,1031174,1042642,1080335,961499,974614,977643,991152,964757,904904,935090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,106623,107071,114724,117912,125717,127993,126340,125949,143512,147150,155743,157066,173727,191733,193141,199475,202452,212605,215103,214617,201366,213772,187749,208526,202016,188716,188641,197109,198678,199118,210758,226518,231443,232189,221276,204586,206197,217240,228647,238816,231369,238316,243128,248457,255866,254624,268257,277635,241949,226849,224217,231260,231450,231412,239831,237934,237015,250310,259370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,54380,62004,67559,71529,75647,69877,72019,75859,84601,87394,90440,96024,103141,110673,109083,115914,115566,127198,149414,138630,147127,130637,128355,138721,135708,135732,141930,153921,166087,175143,168907,174349,178800,190337,200260,206975,224190,214249,220582,225010,233204,247451,234506,239284,260161,275627,291217,285879,259144,237449,230731,212085,215542,223581,229867,221859,243787,255880,259762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,1700047,1817656,1883701,1902730,1888516,2109451,2220867,2354677,2416843,2530375,2647016,2745083,2847192,2926764,2662440,2575898,2746055,2762674,2737616,2382107,2135731,1909639,1775955,1606417,1577749,1676368,1793211,1853579,1901048,1868573,1785597,1667903,1573605,1559483,1493381,1441869,1510247,1462905,1498639,1522476,1604698,1625732,1560207,1760002,1823746,1807239,1556773,1562784,1480358,1385199,1337969,1239914,1251216,1236873,1291425,1293097,1301628,1282468,1328868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,796707,770467,805616,821093,858117,917461,940071,949735,1023914,1052349,1071430,1071726,1151713,1208961,1182948,1200334,1287362,1350669,1369852,1384084,1301153,1199908,1124585,1104882,1096264,1078973,1067822,1114991,1102825,1138457,1087841,1054525,1095319,1100196,1115705,1116216,1186247,1213463,1200238,1269430,1251551,1257823,1270998,1303901,1303260,1280172,1289366,1284301,1232449,1125256,1134676,1111093,1089832,1103049,1105204,1123001,1118318,1105371,1110540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,254680,257686,273079,283258,286214,294406,303667,313611,337999,346039,365166,369703,395038,414787,408315,421722,439476,457902,482959,465726,442550,435481,443116,461895,456031,458247,412111,412384,427135,436023,430559,433239,468171,457287,467102,434518,461885,457820,465618,491891,511661,581673,549321,545461,526834,557797,583533,563473,540101,505025,526643,518059,524088,513518,538307,530592,533316,551686,538652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,212447,218420,228614,235270,249225,248291,262945,262509,281035,293361,294478,311295,340285,344095,318409,306615,312312,338296,360125,363933,334332,333667,341618,308401,321691,317849,324839,332885,355757,352981,346180,359850,369828,360397,366782,358795,361561,358191,385362,393569,378765,352498,366296,358058,368456,374572,381213,374647,356012,348855,341322,331018,323113,321466,324752,321230,325515,328553,332851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1120870,1100989,1146054,1174614,1193781,1245912,1284932,1308614,1377524,1448627,1528940,1558163,1650519,1655536,1602646,1469329,1623254,1716994,1713648,1621351,1436379,1297668,1191619,1227111,1276013,1223123,1281549,1340493,1361537,1363180,1311090,1266691,1283797,1314251,1345845,1310049,1297896,1312478,1348264,1343271,1407638,1431355,1403563,1446911,1475233,1498536,1430279,1402752,1380331,1245857,1239353,1184087,1133727,1153477,1177780,1161456,1139643,1195011,1203157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,153624,136939,142184,140204,135069,127459,127158,147508,149482,161192,167131,173903,173492,165859,147937,136846,140424,143166,132150,115620,102801,92461,90122,92619,102311,114468,120640,121161,125779,112685,104515,95651,104490,99496,104400,98788,96751,102259,96345,97394,97168,99767,98079,102986,98408,97180,90465,87046,89555,91643,88875,82762,79448,82710,87370,86617,75246,76494,84434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
