state_name,state_abb,year,pe_coal,pe_naturalgas,pe_petroleum,pe_nuclear,pe_totalrenew,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind
New Jersey,NJ,1961,193959,159189,969056,0,20749,20550,0,199,0,0
New Mexico,NM,1961,3303,218948,107071,0,6937,6383,0,553,0,0
Nevada,NV,1961,3740,16419,62004,0,19545,929,0,18617,0,0
New York,NY,1961,634013,450630,1817656,0,250832,57453,0,193379,0,0
Ohio,OH,1961,1159286,746456,770467,0,36414,36193,0,221,0,0
Oklahoma,OK,1961,1452,316051,257686,0,20187,9519,0,10668,0,0
Oregon,OR,1961,9420,35011,218420,0,188915,55869,0,133046,0,0
Pennsylvania,PA,1961,1431872,547651,1100989,3548,61121,45262,0,15858,0,0
Rhode Island,RI,1961,15116,13227,136939,0,3011,2926,0,85,0,0
South Carolina,SC,1961,103498,63060,222199,0,76284,41795,0,34488,0,0
South Dakota,SD,1961,6273,26724,87074,0,13609,1449,0,12160,0,0
Tennessee,TN,1961,354174,166703,236525,0,136653,43478,0,93175,0,0
Texas,TX,1961,18203,2831993,1555772,0,52023,38880,0,13143,0,0
Utah,UT,1961,81964,79168,126702,0,4591,2132,0,2459,0,0
Virginia,VA,1961,328073,73034,429518,0,66456,53854,0,12602,0,0
Vermont,VT,1961,3906,0,50463,0,15369,7149,0,8219,0,0
Washington,WA,1961,15709,72805,363073,0,455762,57882,0,397880,0,0
Wisconsin,WI,1961,307795,117658,390600,0,60619,39133,0,21486,0,0
West Virginia,WV,1961,386400,168291,131972,0,23666,12565,0,11101,0,0
Wyoming,WY,1961,20100,59326,81242,0,8273,1536,0,6737,0,0
United States,US,1961,9618013,12926392,20168040,19678,2952227,1294762,1001,1656464,0,0
Alaska,AK,1962,13559,4048,53752,0,7453,4246,0,3207,0,0
Alabama,AL,1962,427177,201250,239387,0,125564,45959,0,79605,0,0
Arkansas,AR,1962,160,235477,166202,0,47637,36441,0,11197,0,0
Arizona,AZ,1962,6291,163461,135742,0,34533,3672,0,30861,0,0
California,CA,1962,39681,1483423,1879327,84,329046,86898,1061,241087,0,0
Colorado,CO,1962,79296,202310,183671,0,17144,6420,0,10724,0,0
Connecticut,CT,1962,112064,33355,378744,0,15937,12825,0,3112,0,0
District of Columbia,DC,1962,22437,14742,58579,0,166,105,0,61,0,0
Delaware,DE,1962,22586,14999,122925,0,5134,5134,0,0,0,0
Florida,FL,1962,39644,162843,715541,0,35826,33321,0,2505,0,0
Georgia,GA,1962,87199,199380,327690,0,96771,69729,0,27042,0,0
Hawaii,HI,1962,0,0,108072,0,214,0,0,214,0,0
Iowa,IA,1962,114293,221026,284716,0,15580,5749,0,9830,0,0
Idaho,ID,1962,18028,26709,81066,0,73984,10825,0,63159,0,0
Illinois,IL,1962,912473,624035,1116454,13870,32864,30865,0,1999,0,0
Indiana,IN,1962,785052,281781,603338,0,24089,23293,0,796,0,0
Kansas,KS,1962,14595,373666,264169,0,3670,3508,0,162,0,0
Kentucky,KY,1962,287376,163826,222878,0,51423,22130,0,29293,0,0
Louisiana,LA,1962,0,1050301,489667,0,36785,36785,0,0,0,0
Massachusetts,MA,1962,119907,92131,844011,8017,53590,45238,0,8352,0,0
Maryland,MD,1962,252310,84796,369692,0,36002,23878,0,12124,0,0
Maine,ME,1962,17821,0,163744,0,55672,28994,0,26679,0,0
Michigan,MI,1962,695978,459179,739170,0,53745,35748,0,17996,0,0
Minnesota,MN,1962,131206,221625,391131,0,34382,24183,0,10199,0,0
Missouri,MO,1962,180520,299614,420475,0,40239,30942,0,9297,0,0
Mississippi,MS,1962,708,199391,155263,0,44673,44673,0,0,0,0
Montana,MT,1962,5670,65680,120089,0,74894,7217,0,67678,0,0
North Carolina,NC,1962,260487,58346,462642,0,127402,69423,0,57979,0,0
North Dakota,ND,1962,28384,32045,104594,0,14054,403,0,13651,0,0
Nebraska,NE,1962,23047,149324,141446,0,12973,2675,0,10298,0,0
New Hampshire,NH,1962,12330,3431,94812,0,25119,10783,0,14336,0,0
New Jersey,NJ,1962,195944,180307,1039261,0,21199,20961,0,238,0,0
New Mexico,NM,1962,2451,247090,114724,0,6791,6119,0,672,0,0
Nevada,NV,1962,4218,18141,67559,0,21733,911,0,20822,0,0
New York,NY,1962,620891,491055,1883701,706,277979,57324,0,220654,0,0
Ohio,OH,1962,1229713,784630,805616,0,36983,36803,0,180,0,0
Oklahoma,OK,1962,1072,416403,273079,0,16660,8940,0,7720,0,0
Oregon,OR,1962,8805,39190,228614,0,197646,57086,0,140560,0,0
Pennsylvania,PA,1962,1477609,568742,1146054,3717,61767,45730,0,16037,0,0
Rhode Island,RI,1962,14953,14277,142184,0,3139,3081,0,58,0,0
South Carolina,SC,1962,108500,73118,241045,0,73455,41078,0,32377,0,0
South Dakota,SD,1962,6725,28372,90393,0,17252,1396,0,15855,0,0
Tennessee,TN,1962,347170,173967,253947,0,145125,43391,0,101734,0,0
Texas,TX,1962,20582,2959563,1633869,0,47721,39275,0,8446,0,0
Utah,UT,1962,65575,87938,136636,0,6192,2044,0,4148,0,0
Virginia,VA,1962,345482,79884,441746,0,67678,54344,0,13334,0,0
Vermont,VT,1962,3019,0,52473,0,15682,7251,0,8431,0,0
Washington,WA,1962,15652,84281,373247,0,476680,59084,0,417596,0,0
Wisconsin,WI,1962,310326,141294,404321,0,61695,39130,0,22565,0,0
West Virginia,WV,1962,391870,159207,139292,0,23755,12784,0,10971,0,0
Wyoming,WY,1962,23749,61189,90729,0,11746,1448,0,10298,0,0
United States,US,1962,9904585,13730841,20997481,26394,3117444,1300242,1061,1816141,0,0
Alaska,AK,1963,11999,5567,55429,0,7793,4383,0,3410,0,0
Alabama,AL,1963,442465,211348,251791,0,112682,45764,0,66918,0,0
