Actual CO2_emissions,Predicted CO2 emissions
2.1300119496719043,1.9865422372748003
1.8561244442423004,1.8626184552442369
1.7752462597402365,1.7877859533890752
2.539828558377898,2.624383063066635
1.8790958795000727,1.8882755890036944
1.631443769013172,1.7044729601034923
1.187520720836463,1.299462474714523
2.3412366232386925,2.278868884402916
2.1961761850399735,2.1110604074250356
1.1398790864012365,1.4312502441613768
2.3531465462139796,2.30626741319818
2.3366598234544202,2.218262848499633
1.866287339084195,1.845607792250847
1.8543060418010806,1.925719853052494
2.1513698502474603,2.085158074485618
2.346548558548474,2.4491015107903995
1.2966651902615312,1.2104919951550754
1.8585371975696392,1.9266886199864488
1.9339931638312424,2.0147964978968242
2.2837533833325265,2.263247297988674
1.9618954736678504,2.013542330946501
1.745855195173729,1.8273047328498406
2.0989896394011773,2.0975829072046177
1.462397997898956,1.5410827252744892
1.6138418218760693,1.6558709782378966
1.5809249756756194,1.6476948833096796
1.2201080880400552,1.2995498182996839
2.0895518828864543,2.1791026385526746
1.7474118078864234,1.7513796800021981
2.311753861055754,2.336829267960957
2.156851901070011,2.0637898975611493
1.677606952720493,1.5193940333123988
2.4156409798961542,2.3482377965202237
1.994756944587628,2.05151796643718
1.5550944485783191,1.7291905889729926
2.4409090820652177,2.330334154359257
1.1335389083702174,1.2279062461518295
1.8536982117761744,1.850973763665332
1.1238516409670858,1.4680741896488718
2.0877814178095426,2.0579277952581845
2.824776462475546,2.957181081004
1.7853298350107671,1.795238569710094
0.8129133566428556,1.0104176931086313
2.041787318971752,2.023553188047322
1.8779469516291882,1.9904776856387003
2.0461047872460387,1.7727075847123888
2.0153597554092144,1.9856594154295357
1.7701152947871017,1.585307747906596
2.1300119496719043,1.974972009898107
1.887054378050957,1.9083909592307369
1.787460474518415,1.7936372658383086
2.5548524343720547,2.6276994128041795
1.8943160626844384,1.9086078509129396
1.608526033577194,1.67433291299144
1.1760912590556813,1.2799990047831344
2.368286884902131,2.304412551915848
2.2013971243204513,2.1134301210794084
1.1522883443830565,1.450560799573167
2.3356584522893016,2.2872562749252645
2.3404441148401185,2.204623242525218
1.8898617212581883,1.8539138647536935
1.850033257689769,1.9209823965535224
2.1451964061141817,2.0823614530081245
2.3176455432211585,2.422829147671202
1.290034611362518,1.1890511548291047
1.8762178405916423,1.93070186146443
1.9258275746247424,2.0064442972611176
2.28397928423848,2.25041566325481
1.964259630196849,2.0048349194048734
1.7551122663950711,1.8474824796583236
2.1152775913959014,2.1110597654743377
1.4885507165004443,1.5396014693191291
1.6364878963533653,1.6689865340032717
1.6127838567197355,1.6663141992195212
1.2253092817258628,1.294955081247088
2.076276255404218,2.1631365811532146
1.745855195173729,1.7560330143585428
2.3102683666324477,2.3389316489204464
2.156851901070011,2.067345329639146
1.6901960800285136,1.4750333145889
2.4149733479708178,2.3246912350720756
1.9894498176666917,2.0565625050231486
1.615950051656401,1.8254688255505633
2.425044874551389,2.327056785158328
1.146128035678238,1.2154200385014393
1.8721562727482928,1.8669693240525658
1.110589710299249,1.4405708381863391
2.084576277934331,2.062960794020238
2.8311656339094426,2.958368339330852
1.8041394323353503,1.7960669629028918
0.7993405494535817,0.8776542531636329
2.0519239160461065,2.0291210673377624
1.88309335857569,2.0064938319713552
