state_name,year,population_thousands
Texas,1964,10270
Utah,1964,978
Virginia,1964,4357
Vermont,1964,399
Washington,1964,2961
Wisconsin,1964,4165
West Virginia,1964,1797
Wyoming,1964,339
United States,1964,191889
Alaska,1965,271
Alabama,1965,3443
Arkansas,1965,1894
Arizona,1965,1584
California,1965,18585
Colorado,1965,1985
Connecticut,1965,2857
District of Columbia,1965,797
Delaware,1965,507
Florida,1965,5954
Georgia,1965,4332
Hawaii,1965,704
Iowa,1965,2742
Idaho,1965,686
Illinois,1965,10693
Indiana,1965,4922
Kansas,1965,2206
Kentucky,1965,3140
Louisiana,1965,3496
Massachusetts,1965,5502
Maryland,1965,3600
Maine,1965,997
Michigan,1965,8357
Minnesota,1965,3592
Missouri,1965,4467
Mississippi,1965,2246
Montana,1965,706
North Carolina,1965,4863
North Dakota,1965,649
Nebraska,1965,1471
New Hampshire,1965,676
New Jersey,1965,6767
New Mexico,1965,1012
Nevada,1965,444
New York,1965,17734
Ohio,1965,10201
Oklahoma,1965,2440
Oregon,1965,1937
Pennsylvania,1965,11620
Rhode Island,1965,893
South Carolina,1965,2494
South Dakota,1965,692
Tennessee,1965,3798
Texas,1965,10378
Utah,1965,991
Virginia,1965,4411
Vermont,1965,404
Washington,1965,2967
Wisconsin,1965,4232
West Virginia,1965,1786
Wyoming,1965,332
United States,1965,194303
Alaska,1966,271
Alabama,1966,3464
Arkansas,1966,1899
Arizona,1966,1614
California,1966,18858
Colorado,1966,2007
Connecticut,1966,2903
District of Columbia,1966,791
Delaware,1966,516
Florida,1966,6104
Georgia,1966,4379
Hawaii,1966,710
Iowa,1966,2762
Idaho,1966,689
Illinois,1966,10836
Indiana,1966,4999
Kansas,1966,2200
Kentucky,1966,3147
Louisiana,1966,3550
Massachusetts,1966,5535
Maryland,1966,3695
Maine,1966,999
Michigan,1966,8512
Minnesota,1966,3617
Missouri,1966,4523
Mississippi,1966,2245
Montana,1966,707
North Carolina,1966,4896
North Dakota,1966,647
Nebraska,1966,1456
New Hampshire,1966,681
