state_name,year,population_thousands
Delaware,1984,612
Florida,1984,11040
Georgia,1984,5835
Hawaii,1984,1028
Iowa,1984,2859
Idaho,1984,991
Illinois,1984,11412
Indiana,1984,5458
Kansas,1984,2424
Kentucky,1984,3695
Louisiana,1984,4400
Massachusetts,1984,5841
Maryland,1984,4365
Maine,1984,1156
Michigan,1984,9049
Minnesota,1984,4158
Missouri,1984,4975
Mississippi,1984,2578
Montana,1984,821
North Carolina,1984,6164
North Dakota,1984,680
Nebraska,1984,1589
New Hampshire,1984,977
New Jersey,1984,7515
New Mexico,1984,1417
Nevada,1984,925
New York,1984,17746
Ohio,1984,10738
Oklahoma,1984,3286
Oregon,1984,2667
Pennsylvania,1984,11815
Rhode Island,1984,962
South Carolina,1984,3272
South Dakota,1984,697
Tennessee,1984,4687
Texas,1984,16007
Utah,1984,1622
Virginia,1984,5644
Vermont,1984,527
Washington,1984,4344
Wisconsin,1984,4736
West Virginia,1984,1928
Wyoming,1984,505
United States,1984,235825
Alaska,1985,532
Alabama,1985,3973
Arkansas,1985,2327
Arizona,1985,3184
California,1985,26441
Colorado,1985,3209
Connecticut,1985,3201
District of Columbia,1985,635
Delaware,1985,618
Florida,1985,11351
Georgia,1985,5963
Hawaii,1985,1040
Iowa,1985,2830
Idaho,1985,994
Illinois,1985,11400
Indiana,1985,5459
Kansas,1985,2427
Kentucky,1985,3695
Louisiana,1985,4408
Massachusetts,1985,5881
Maryland,1985,4413
Maine,1985,1163
Michigan,1985,9076
Minnesota,1985,4184
Missouri,1985,5000
Mississippi,1985,2588
Montana,1985,822
North Carolina,1985,6254
North Dakota,1985,677
Nebraska,1985,1585
New Hampshire,1985,997
New Jersey,1985,7566
New Mexico,1985,1438
Nevada,1985,951
New York,1985,17792
Ohio,1985,10735
Oklahoma,1985,3271
Oregon,1985,2673
Pennsylvania,1985,11771
Rhode Island,1985,969
South Carolina,1985,3303
South Dakota,1985,698
Tennessee,1985,4715
Texas,1985,16273
Utah,1985,1643
Virginia,1985,5715
Vermont,1985,530
Washington,1985,4400
Wisconsin,1985,4748
West Virginia,1985,1907
Wyoming,1985,500
United States,1985,237924
Alaska,1986,544
Alabama,1986,3992
Arkansas,1986,2332
Arizona,1986,3308
California,1986,27102
Colorado,1986,3237
Connecticut,1986,3224
District of Columbia,1986,638
Delaware,1986,628
Florida,1986,11668
Georgia,1986,6085
Hawaii,1986,1052
Iowa,1986,2792
Idaho,1986,990
Illinois,1986,11387
Indiana,1986,5454
Kansas,1986,2433
Kentucky,1986,3688
Louisiana,1986,4407
Massachusetts,1986,5903
Maryland,1986,4487
Maine,1986,1170
Michigan,1986,9128
Minnesota,1986,4205
Missouri,1986,5023
Mississippi,1986,2594
Montana,1986,814
North Carolina,1986,6322
North Dakota,1986,670
Nebraska,1986,1574
New Hampshire,1986,1025
New Jersey,1986,7622
New Mexico,1986,1463
Nevada,1986,981
New York,1986,17833
Ohio,1986,10730
Oklahoma,1986,3253
Oregon,1986,2684
Pennsylvania,1986,11783
Rhode Island,1986,977
South Carolina,1986,3343
South Dakota,1986,696
Tennessee,1986,4739
Texas,1986,16561
Utah,1986,1663
Virginia,1986,5812
Vermont,1986,534
Washington,1986,4453
Wisconsin,1986,4756
West Virginia,1986,1882
Wyoming,1986,496
United States,1986,240133
Alaska,1987,539
Alabama,1987,4015
Arkansas,1987,2342
Arizona,1987,3437
California,1987,27777
Colorado,1987,3260
Connecticut,1987,3247
District of Columbia,1987,637
Delaware,1987,637
Florida,1987,11997
Georgia,1987,6208
Hawaii,1987,1068
Iowa,1987,2767
Idaho,1987,985
Illinois,1987,11391
Indiana,1987,5473
Kansas,1987,2445
Kentucky,1987,3683
Louisiana,1987,4344
Massachusetts,1987,5935
Maryland,1987,4566
Maine,1987,1185
Michigan,1987,9187
Minnesota,1987,4235
Missouri,1987,5057
Mississippi,1987,2589
Montana,1987,805
North Carolina,1987,6404
North Dakota,1987,661
Nebraska,1987,1567
New Hampshire,1987,1054
New Jersey,1987,7671
New Mexico,1987,1479
Nevada,1987,1023
New York,1987,17869
Ohio,1987,10760
Oklahoma,1987,3210
Oregon,1987,2701
Pennsylvania,1987,11811
Rhode Island,1987,990
South Carolina,1987,3381
South Dakota,1987,696
Tennessee,1987,4783
Texas,1987,16622
Utah,1987,1678
Virginia,1987,5932
Vermont,1987,540
Washington,1987,4532
Wisconsin,1987,4778
West Virginia,1987,1858
Wyoming,1987,477
United States,1987,242289
Alaska,1988,542
Alabama,1988,4024
Arkansas,1988,2343
Arizona,1988,3535
California,1988,28464
Colorado,1988,3262
Connecticut,1988,3272
District of Columbia,1988,630
Delaware,1988,648
Florida,1988,12306
Georgia,1988,6316
Hawaii,1988,1080
Iowa,1988,2768
Idaho,1988,986
Illinois,1988,11390
Indiana,1988,5492
Kansas,1988,2462
Kentucky,1988,3680
Louisiana,1988,4289
Massachusetts,1988,5980
Maryland,1988,4658
Maine,1988,1204
Michigan,1988,9218
Minnesota,1988,4296
Missouri,1988,5082
Mississippi,1988,2580
Montana,1988,800
North Carolina,1988,6481
North Dakota,1988,655
Nebraska,1988,1571
New Hampshire,1988,1083
New Jersey,1988,7712
New Mexico,1988,1490
Nevada,1988,1075
New York,1988,17941
Ohio,1988,10799
Oklahoma,1988,3167
Oregon,1988,2741
Pennsylvania,1988,11846
Rhode Island,1988,996
South Carolina,1988,3412
South Dakota,1988,698
Tennessee,1988,4822
Texas,1988,16667
Utah,1988,1689
Virginia,1988,6037
Vermont,1988,550
Washington,1988,4640
Wisconsin,1988,4822
West Virginia,1988,1830
Wyoming,1988,465
United States,1988,244499
Alaska,1989,547
Alabama,1989,4030
Arkansas,1989,2346
Arizona,1989,3622
California,1989,29218
Colorado,1989,3276
Connecticut,1989,3283
District of Columbia,1989,624
Delaware,1989,658
Florida,1989,12638
Georgia,1989,6411
Hawaii,1989,1095
Iowa,1989,2771
Idaho,1989,994
Illinois,1989,11410
Indiana,1989,5524
Kansas,1989,2473
Kentucky,1989,3677
Louisiana,1989,4253
Massachusetts,1989,6015
Maryland,1989,4727
Maine,1989,1220
Michigan,1989,9253
Minnesota,1989,4338
Missouri,1989,5096
Mississippi,1989,2574
Montana,1989,800
North Carolina,1989,6565
North Dakota,1989,646
Nebraska,1989,1575
New Hampshire,1989,1105
New Jersey,1989,7726
New Mexico,1989,1504
Nevada,1989,1137
New York,1989,17983
Ohio,1989,10829
Oklahoma,1989,3150
Oregon,1989,2791
Pennsylvania,1989,11866
Rhode Island,1989,1001
South Carolina,1989,3457
South Dakota,1989,697
Tennessee,1989,4854
Texas,1989,16807
Utah,1989,1706
Virginia,1989,6120
Vermont,1989,558
Washington,1989,4746
Wisconsin,1989,4857
West Virginia,1989,1807
Wyoming,1989,458
United States,1989,246819
Alaska,1990,553
Alabama,1990,4050
Arkansas,1990,2357
Arizona,1990,3684
California,1990,29960
Colorado,1990,3308
Connecticut,1990,3292
District of Columbia,1990,605
Delaware,1990,670
Florida,1990,13033
Georgia,1990,6513
Hawaii,1990,1113
Iowa,1990,2781
Idaho,1990,1012
Illinois,1990,11453
Indiana,1990,5558
Kansas,1990,2481
Kentucky,1990,3694
Louisiana,1990,4222
Massachusetts,1990,6023
Maryland,1990,4800
Maine,1990,1232
Michigan,1990,9311
Minnesota,1990,4390
Missouri,1990,5129
Mississippi,1990,2579
Montana,1990,800
North Carolina,1990,6664
North Dakota,1990,638
Nebraska,1990,1582
New Hampshire,1990,1112
New Jersey,1990,7763
New Mexico,1990,1522
Nevada,1990,1221
New York,1990,18021
Ohio,1990,10864
Oklahoma,1990,3149
Oregon,1990,2860
Pennsylvania,1990,11903
Rhode Island,1990,1006
South Carolina,1990,3501
South Dakota,1990,697
Tennessee,1990,4894
Texas,1990,17057
Utah,1990,1731
Virginia,1990,6217
Vermont,1990,565
Washington,1990,4903
Wisconsin,1990,4905
West Virginia,1990,1793
Wyoming,1990,454
United States,1990,249623
Alaska,1991,570
Alabama,1991,4099
Arkansas,1991,2383
Arizona,1991,3789
California,1991,30471
Colorado,1991,3387
Connecticut,1991,3303
District of Columbia,1991,601
Delaware,1991,683
Florida,1991,13370
Georgia,1991,6653
Hawaii,1991,1137
Iowa,1991,2798
Idaho,1991,1041
Illinois,1991,11569
Indiana,1991,5616
Kansas,1991,2499
Kentucky,1991,3722
Louisiana,1991,4253
Massachusetts,1991,6018
Maryland,1991,4868
Maine,1991,1237
Michigan,1991,9400
Minnesota,1991,4441
Missouri,1991,5171
Mississippi,1991,2599
Montana,1991,810
North Carolina,1991,6784
North Dakota,1991,636
Nebraska,1991,1596
New Hampshire,1991,1110
New Jersey,1991,7815
New Mexico,1991,1555
Nevada,1991,1296
New York,1991,18123
Ohio,1991,10946
Oklahoma,1991,3175
Oregon,1991,2929
Pennsylvania,1991,11982
Rhode Island,1991,1011
South Carolina,1991,3570
South Dakota,1991,704
Tennessee,1991,4967
Texas,1991,17398
Utah,1991,1780
Virginia,1991,6301
Vermont,1991,569
Washington,1991,5026
Wisconsin,1991,4964
West Virginia,1991,1799
Wyoming,1991,459
United States,1991,252981
Alaska,1992,589
Alabama,1992,4154
Arkansas,1992,2416
Arizona,1992,3916
California,1992,30975
Colorado,1992,3496
Connecticut,1992,3301
District of Columbia,1992,598
Delaware,1992,695
Florida,1992,13651
Georgia,1992,6817
Hawaii,1992,1159
Iowa,1992,2818
Idaho,1992,1072
Illinois,1992,11694
Indiana,1992,5675
Kansas,1992,2532
Kentucky,1992,3765
Louisiana,1992,4293
Massachusetts,1992,6029
Maryland,1992,4923
Maine,1992,1239
Michigan,1992,9479
Minnesota,1992,4496
Missouri,1992,5217
Mississippi,1992,2624
Montana,1992,826
North Carolina,1992,6897
North Dakota,1992,638
Nebraska,1992,1612
New Hampshire,1992,1118
New Jersey,1992,7881
New Mexico,1992,1595
Nevada,1992,1351
New York,1992,18247
Ohio,1992,11029
Oklahoma,1992,3221
Oregon,1992,2992
Pennsylvania,1992,12049
Rhode Island,1992,1013
South Carolina,1992,3620
South Dakota,1992,713
Tennessee,1992,5050
Texas,1992,17760
Utah,1992,1837
Virginia,1992,6414
Vermont,1992,573
Washington,1992,5161
Wisconsin,1992,5025
West Virginia,1992,1806
Wyoming,1992,466
United States,1992,256514
Alaska,1993,599
Alabama,1993,4214
Arkansas,1993,2456
Arizona,1993,4065
California,1993,31275
Colorado,1993,3614
Connecticut,1993,3309
District of Columbia,1993,595
Delaware,1993,706
Florida,1993,13927
Georgia,1993,6978
Hawaii,1993,1173
Iowa,1993,2837
Idaho,1993,1109
Illinois,1993,11810
Indiana,1993,5739
Kansas,1993,2557
Kentucky,1993,3812
Louisiana,1993,4316
Massachusetts,1993,6061
Maryland,1993,4972
Maine,1993,1242
Michigan,1993,9540
Minnesota,1993,4556
Missouri,1993,5271
Mississippi,1993,2655
Montana,1993,845
North Carolina,1993,7043
North Dakota,1993,641
Nebraska,1993,1626
New Hampshire,1993,1129
New Jersey,1993,7949
New Mexico,1993,1636
Nevada,1993,1411
New York,1993,18375
Ohio,1993,11101
Oklahoma,1993,3252
Oregon,1993,3060
Pennsylvania,1993,12120
Rhode Island,1993,1015
South Carolina,1993,3663
South Dakota,1993,722
Tennessee,1993,5138
Texas,1993,18162
Utah,1993,1898
Virginia,1993,6510
Vermont,1993,578
Washington,1993,5279
Wisconsin,1993,5085
West Virginia,1993,1818
Wyoming,1993,473
United States,1993,259919
Alaska,1994,603
Alabama,1994,4260
Arkansas,1994,2494
Arizona,1994,4245
California,1994,31484
Colorado,1994,3724
Connecticut,1994,3316
District of Columbia,1994,589
Delaware,1994,718
Florida,1994,14239
Georgia,1994,7157
Hawaii,1994,1188
Iowa,1994,2851
Idaho,1994,1145
Illinois,1994,11913
Indiana,1994,5794
Kansas,1994,2581
Kentucky,1994,3849
Louisiana,1994,4347
Massachusetts,1994,6095
Maryland,1994,5023
Maine,1994,1243
Michigan,1994,9598
Minnesota,1994,4610
Missouri,1994,5324
Mississippi,1994,2689
Montana,1994,861
North Carolina,1994,7187
North Dakota,1994,645
Nebraska,1994,1639
New Hampshire,1994,1143
New Jersey,1994,8014
New Mexico,1994,1682
Nevada,1994,1499
New York,1994,18459
Ohio,1994,11152
Oklahoma,1994,3281
Oregon,1994,3121
Pennsylvania,1994,12166
Rhode Island,1994,1016
South Carolina,1994,3705
South Dakota,1994,731
Tennessee,1994,5231
Texas,1994,18564
Utah,1994,1960
Virginia,1994,6593
Vermont,1994,584
Washington,1994,5375
Wisconsin,1994,5134
West Virginia,1994,1820
Wyoming,1994,480
United States,1994,263126
Alaska,1995,604
Alabama,1995,4297
Arkansas,1995,2535
Arizona,1995,4432
California,1995,31697
Colorado,1995,3827
Connecticut,1995,3324
District of Columbia,1995,581
Delaware,1995,730
Florida,1995,14538
Georgia,1995,7328
Hawaii,1995,1197
Iowa,1995,2867
Idaho,1995,1177
Illinois,1995,12008
Indiana,1995,5851
Kansas,1995,2601
Kentucky,1995,3887
Louisiana,1995,4379
Massachusetts,1995,6141
Maryland,1995,5070
Maine,1995,1243
Michigan,1995,9676
Minnesota,1995,4660
Missouri,1995,5378
Mississippi,1995,2723
Montana,1995,877
North Carolina,1995,7345
North Dakota,1995,648
Nebraska,1995,1657
New Hampshire,1995,1158
New Jersey,1995,8083
New Mexico,1995,1720
Nevada,1995,1582
New York,1995,18524
Ohio,1995,11203
Oklahoma,1995,3308
Oregon,1995,3184
Pennsylvania,1995,12198
Rhode Island,1995,1017
South Carolina,1995,3749
South Dakota,1995,738
Tennessee,1995,5327
Texas,1995,18959
Utah,1995,2014
Virginia,1995,6671
Vermont,1995,589
Washington,1995,5481
Wisconsin,1995,5185
West Virginia,1995,1824
Wyoming,1995,485
United States,1995,266278
Alaska,1996,609
Alabama,1996,4331
Arkansas,1996,2572
Arizona,1996,4587
California,1996,32019
Colorado,1996,3920
Connecticut,1996,3337
District of Columbia,1996,572
Delaware,1996,741
Florida,1996,14853
Georgia,1996,7501
Hawaii,1996,1204
Iowa,1996,2880
Idaho,1996,1203
Illinois,1996,12102
Indiana,1996,5906
Kansas,1996,2615
Kentucky,1996,3920
Louisiana,1996,4399
Massachusetts,1996,6180
Maryland,1996,5112
Maine,1996,1249
Michigan,1996,9759
Minnesota,1996,4713
Missouri,1996,5432
Mississippi,1996,2748
Montana,1996,886
North Carolina,1996,7501
North Dakota,1996,650
Nebraska,1996,1674
New Hampshire,1996,1175
New Jersey,1996,8150
New Mexico,1996,1752
Nevada,1996,1666
New York,1996,18588
Ohio,1996,11243
Oklahoma,1996,3340
Oregon,1996,3247
Pennsylvania,1996,12220
Rhode Island,1996,1021
South Carolina,1996,3796
South Dakota,1996,742
Tennessee,1996,5417
Texas,1996,19340
Utah,1996,2068
Virginia,1996,6751
Vermont,1996,594
Washington,1996,5570
Wisconsin,1996,5230
West Virginia,1996,1823
Wyoming,1996,488
United States,1996,269394
Alaska,1997,613
Alabama,1997,4368
Arkansas,1997,2601
Arizona,1997,4737
California,1997,32486
Colorado,1997,4018
Connecticut,1997,3349
District of Columbia,1997,568
Delaware,1997,751
Florida,1997,15186
Georgia,1997,7685
Hawaii,1997,1212
Iowa,1997,2891
Idaho,1997,1229
Illinois,1997,12186
Indiana,1997,5955
Kansas,1997,2635
Kentucky,1997,3953
Louisiana,1997,4421
Massachusetts,1997,6226
Maryland,1997,5157
Maine,1997,1255
Michigan,1997,9809
Minnesota,1997,4763
Missouri,1997,5481
Mississippi,1997,2777
Montana,1997,890
North Carolina,1997,7657
North Dakota,1997,650
Nebraska,1997,1686
New Hampshire,1997,1189
New Jersey,1997,8219
New Mexico,1997,1775
Nevada,1997,1764
New York,1997,18657
Ohio,1997,11277
Oklahoma,1997,3373
Oregon,1997,3304
Pennsylvania,1997,12228
Rhode Island,1997,1025
South Carolina,1997,3860
South Dakota,1997,744
Tennessee,1997,5499
Texas,1997,19740
Utah,1997,2120
Virginia,1997,6829
Vermont,1997,597
Washington,1997,5675
Wisconsin,1997,5266
West Virginia,1997,1819
Wyoming,1997,489
United States,1997,272647
Alaska,1998,620
Alabama,1998,4405
Arkansas,1998,2626
Arizona,1998,4883
California,1998,32988
Colorado,1998,4117
Connecticut,1998,3365
District of Columbia,1998,565
Delaware,1998,763
Florida,1998,15487
Georgia,1998,7864
Hawaii,1998,1215
Iowa,1998,2903
Idaho,1998,1252
Illinois,1998,12272
Indiana,1998,5999
Kansas,1998,2661
Kentucky,1998,3985
Louisiana,1998,4440
Massachusetts,1998,6272
Maryland,1998,5204
Maine,1998,1259
Michigan,1998,9848
Minnesota,1998,4813
Missouri,1998,5522
Mississippi,1998,2805
Montana,1998,892
North Carolina,1998,7809
North Dakota,1998,648
Nebraska,1998,1696
New Hampshire,1998,1206
New Jersey,1998,8287
New Mexico,1998,1793
Nevada,1998,1853
New York,1998,18756
Ohio,1998,11312
Oklahoma,1998,3405
Oregon,1998,3352
Pennsylvania,1998,12246
Rhode Island,1998,1031
South Carolina,1998,3919
South Dakota,1998,746
Tennessee,1998,5570
Texas,1998,20158
Utah,1998,2166
Virginia,1998,6901
Vermont,1998,600
Washington,1998,5770
Wisconsin,1998,5298
West Virginia,1998,1816
Wyoming,1998,491
United States,1998,275854
Alaska,1999,625
Alabama,1999,4430
Arkansas,1999,2652
Arizona,1999,5024
California,1999,33499
Colorado,1999,4226
Connecticut,1999,3386
District of Columbia,1999,570
Delaware,1999,775
Florida,1999,15759
Georgia,1999,8046
Hawaii,1999,1210
Iowa,1999,2918
Idaho,1999,1276
Illinois,1999,12359
Indiana,1999,6045
Kansas,1999,2678
Kentucky,1999,4018
Louisiana,1999,4461
Massachusetts,1999,6317
Maryland,1999,5255
Maine,1999,1267
Michigan,1999,9897
Minnesota,1999,4873
Missouri,1999,5562
Mississippi,1999,2828
Montana,1999,898
North Carolina,1999,7949
North Dakota,1999,644
Nebraska,1999,1705
New Hampshire,1999,1222
New Jersey,1999,8360
New Mexico,1999,1808
Nevada,1999,1935
New York,1999,18883
Ohio,1999,11335
Oklahoma,1999,3437
Oregon,1999,3394
Pennsylvania,1999,12264
Rhode Island,1999,1040
South Carolina,1999,3975
South Dakota,1999,750
Tennessee,1999,5639
Texas,1999,20558
Utah,1999,2203
Virginia,1999,7000
Vermont,1999,605
Washington,1999,5843
Wisconsin,1999,5333
West Virginia,1999,1812
Wyoming,1999,492
United States,1999,279040
Alaska,2000,628
Alabama,2000,4452
Arkansas,2000,2679
Arizona,2000,5161
California,2000,33988
Colorado,2000,4327
Connecticut,2000,3412
District of Columbia,2000,572
Delaware,2000,786
Florida,2000,16048
Georgia,2000,8227
Hawaii,2000,1214
Iowa,2000,2929
Idaho,2000,1299
Illinois,2000,12434
Indiana,2000,6092
Kansas,2000,2694
Kentucky,2000,4049
Louisiana,2000,4472
Massachusetts,2000,6361
Maryland,2000,5311
Maine,2000,1277
Michigan,2000,9952
Minnesota,2000,4934
Missouri,2000,5607
Mississippi,2000,2848
Montana,2000,904
North Carolina,2000,8082
North Dakota,2000,642
Nebraska,2000,1714
New Hampshire,2000,1240
New Jersey,2000,8431
New Mexico,2000,1821
Nevada,2000,2019
New York,2000,19002
Ohio,2000,11364
Oklahoma,2000,3454
Oregon,2000,3430
Pennsylvania,2000,12284
Rhode Island,2000,1050
South Carolina,2000,4024
South Dakota,2000,756
Tennessee,2000,5704
Texas,2000,20944
Utah,2000,2245
Virginia,2000,7106
Vermont,2000,610
Washington,2000,5911
Wisconsin,2000,5374
West Virginia,2000,1807
Wyoming,2000,494
United States,2000,282162
Alaska,2001,634
Alabama,2001,4468
Arkansas,2001,2692
Arizona,2001,5273
California,2001,34479
Colorado,2001,4426
Connecticut,2001,3433
District of Columbia,2001,575
Delaware,2001,796
Florida,2001,16357
Georgia,2001,8377
Hawaii,2001,1226
Iowa,2001,2932
Idaho,2001,1320
Illinois,2001,12488
Indiana,2001,6128
Kansas,2001,2702
Kentucky,2001,4068
Louisiana,2001,4478
Massachusetts,2001,6398
Maryland,2001,5375
Maine,2001,1286
Michigan,2001,9991
Minnesota,2001,4983
Missouri,2001,5641
Mississippi,2001,2853
Montana,2001,907
North Carolina,2001,8210
North Dakota,2001,639
Nebraska,2001,1720
New Hampshire,2001,1256
New Jersey,2001,8493
New Mexico,2001,1832
Nevada,2001,2098
New York,2001,19083
Ohio,2001,11387
Oklahoma,2001,3467
Oregon,2001,3468
Pennsylvania,2001,12299
Rhode Island,2001,1057
South Carolina,2001,4065
South Dakota,2001,758
Tennessee,2001,5751
Texas,2001,21320
Utah,2001,2284
Virginia,2001,7198
Vermont,2001,612
Washington,2001,5986
Wisconsin,2001,5407
West Virginia,2001,1801
Wyoming,2001,495
United States,2001,284969
Alaska,2002,642
Alabama,2002,4480
Arkansas,2002,2706
Arizona,2002,5396
California,2002,34872
Colorado,2002,4490
Connecticut,2002,3459
District of Columbia,2002,573
Delaware,2002,806
Florida,2002,16689
Georgia,2002,8508
Hawaii,2002,1240
Iowa,2002,2934
Idaho,2002,1340
Illinois,2002,12526
Indiana,2002,6156
Kansas,2002,2714
Kentucky,2002,4090
Louisiana,2002,4497
Massachusetts,2002,6417
Maryland,2002,5440
Maine,2002,1296
Michigan,2002,10016
Minnesota,2002,5019
Missouri,2002,5675
Mississippi,2002,2859
Montana,2002,912
North Carolina,2002,8326
North Dakota,2002,638
Nebraska,2002,1728
New Hampshire,2002,1269
New Jersey,2002,8553
New Mexico,2002,1855
Nevada,2002,2174
New York,2002,19138
Ohio,2002,11408
Oklahoma,2002,3489
Oregon,2002,3513
Pennsylvania,2002,12331
Rhode Island,2002,1066
South Carolina,2002,4108
South Dakota,2002,760
Tennessee,2002,5796
Texas,2002,21690
Utah,2002,2325
Virginia,2002,7287
Vermont,2002,615
Washington,2002,6052
Wisconsin,2002,5445
West Virginia,2002,1805
Wyoming,2002,500
United States,2002,287625
Alaska,2003,648
Alabama,2003,4503
Arkansas,2003,2725
Arizona,2003,5510
California,2003,35253
Colorado,2003,4529
Connecticut,2003,3484
District of Columbia,2003,569
Delaware,2003,818
Florida,2003,17004
Georgia,2003,8623
Hawaii,2003,1251
Iowa,2003,2942
Idaho,2003,1363
Illinois,2003,12556
Indiana,2003,6197
Kansas,2003,2723
Kentucky,2003,4117
Louisiana,2003,4521
Massachusetts,2003,6423
Maryland,2003,5496
Maine,2003,1307
Michigan,2003,10041
Minnesota,2003,5054
Missouri,2003,5709
Mississippi,2003,2868
Montana,2003,920
North Carolina,2003,8423
North Dakota,2003,639
Nebraska,2003,1739
New Hampshire,2003,1280
New Jersey,2003,8601
New Mexico,2003,1878
Nevada,2003,2249
New York,2003,19176
Ohio,2003,11435
Oklahoma,2003,3505
Oregon,2003,3547
Pennsylvania,2003,12375
Rhode Island,2003,1071
South Carolina,2003,4150
South Dakota,2003,764
Tennessee,2003,5848
Texas,2003,22031
Utah,2003,2360
Virginia,2003,7367
Vermont,2003,618
Washington,2003,6104
Wisconsin,2003,5479
West Virginia,2003,1812
Wyoming,2003,503
United States,2003,290108
Alaska,2004,659
Alabama,2004,4531
Arkansas,2004,2750
Arizona,2004,5652
California,2004,35575
Colorado,2004,4575
Connecticut,2004,3496
District of Columbia,2004,568
Delaware,2004,831
Florida,2004,17415
Georgia,2004,8769
Hawaii,2004,1274
Iowa,2004,2954
Idaho,2004,1392
Illinois,2004,12590
Indiana,2004,6233
Kansas,2004,2734
Kentucky,2004,4146
Louisiana,2004,4552
Massachusetts,2004,6412
Maryland,2004,5547
Maine,2004,1314
Michigan,2004,10055
Minnesota,2004,5088
Missouri,2004,5748
Mississippi,2004,2889
Montana,2004,930
North Carolina,2004,8553
North Dakota,2004,645
Nebraska,2004,1749
New Hampshire,2004,1290
New Jersey,2004,8635
New Mexico,2004,1904
Nevada,2004,2346
New York,2004,19172
Ohio,2004,11452
Oklahoma,2004,3525
Oregon,2004,3569
Pennsylvania,2004,12411
Rhode Island,2004,1075
South Carolina,2004,4211
South Dakota,2004,770
Tennessee,2004,5911
Texas,2004,22394
Utah,2004,2402
Virginia,2004,7476
Vermont,2004,620
Washington,2004,6179
Wisconsin,2004,5514
West Virginia,2004,1816
Wyoming,2004,509
United States,2004,292805
Alaska,2005,667
Alabama,2005,4570
Arkansas,2005,2781
Arizona,2005,5839
California,2005,35828
Colorado,2005,4632
Connecticut,2005,3507
District of Columbia,2005,567
Delaware,2005,845
Florida,2005,17842
Georgia,2005,8926
Hawaii,2005,1293
Iowa,2005,2964
Idaho,2005,1428
Illinois,2005,12610
Indiana,2005,6279
Kansas,2005,2745
Kentucky,2005,4183
Louisiana,2005,4577
Massachusetts,2005,6403
Maryland,2005,5592
Maine,2005,1319
Michigan,2005,10051
Minnesota,2005,5120
Missouri,2005,5790
Mississippi,2005,2906
Montana,2005,940
North Carolina,2005,8705
North Dakota,2005,646
Nebraska,2005,1761
New Hampshire,2005,1298
New Jersey,2005,8652
New Mexico,2005,1932
Nevada,2005,2432
New York,2005,19133
Ohio,2005,11463
Oklahoma,2005,3549
Oregon,2005,3613
Pennsylvania,2005,12450
Rhode Island,2005,1068
South Carolina,2005,4270
South Dakota,2005,775
Tennessee,2005,5991
Texas,2005,22778
Utah,2005,2458
Virginia,2005,7577
Vermont,2005,621
Washington,2005,6257
Wisconsin,2005,5546
West Virginia,2005,1820
Wyoming,2005,514
United States,2005,295517
Alaska,2006,675
Alabama,2006,4629
Arkansas,2006,2822
Arizona,2006,6029
California,2006,36021
Colorado,2006,4720
Connecticut,2006,3517
District of Columbia,2006,571
Delaware,2006,859
Florida,2006,18167
Georgia,2006,9156
Hawaii,2006,1310
Iowa,2006,2983
Idaho,2006,1469
Illinois,2006,12644
Indiana,2006,6333
Kansas,2006,2763
Kentucky,2006,4219
Louisiana,2006,4303
Massachusetts,2006,6410
Maryland,2006,5627
Maine,2006,1324
Michigan,2006,10036
Minnesota,2006,5164
Missouri,2006,5843
Mississippi,2006,2905
Montana,2006,953
North Carolina,2006,8917
North Dakota,2006,649
Nebraska,2006,1773
New Hampshire,2006,1308
New Jersey,2006,8662
New Mexico,2006,1962
Nevada,2006,2523
New York,2006,19105
Ohio,2006,11481
Oklahoma,2006,3594
Oregon,2006,3671
Pennsylvania,2006,12511
Rhode Island,2006,1063
South Carolina,2006,4358
South Dakota,2006,783
Tennessee,2006,6089
Texas,2006,23360
Utah,2006,2526
Virginia,2006,7674
Vermont,2006,623
Washington,2006,6371
Wisconsin,2006,5578
West Virginia,2006,1828
Wyoming,2006,523
United States,2006,298380
Alaska,2007,680
Alabama,2007,4673
Arkansas,2007,2849
Arizona,2007,6168
California,2007,36250
Colorado,2007,4804
Connecticut,2007,3527
District of Columbia,2007,574
Delaware,2007,872
Florida,2007,18368
Georgia,2007,9350
Hawaii,2007,1316
Iowa,2007,2999
Idaho,2007,1505
Illinois,2007,12696
Indiana,2007,6380
Kansas,2007,2784
Kentucky,2007,4257
Louisiana,2007,4376
Massachusetts,2007,6432
Maryland,2007,5653
Maine,2007,1327
Michigan,2007,10001
Minnesota,2007,5207
Missouri,2007,5888
Mississippi,2007,2928
Montana,2007,965
North Carolina,2007,9118
North Dakota,2007,653
Nebraska,2007,1783
New Hampshire,2007,1313
New Jersey,2007,8678
New Mexico,2007,1990
Nevada,2007,2601
New York,2007,19132
Ohio,2007,11500
Oklahoma,2007,3634
Oregon,2007,3722
Pennsylvania,2007,12564
Rhode Island,2007,1057
South Carolina,2007,4444
South Dakota,2007,792
Tennessee,2007,6176
Texas,2007,23832
Utah,2007,2598
Virginia,2007,7751
Vermont,2007,623
Washington,2007,6462
Wisconsin,2007,5611
West Virginia,2007,1834
Wyoming,2007,535
United States,2007,301231
Alaska,2008,687
Alabama,2008,4718
Arkansas,2008,2875
Arizona,2008,6280
California,2008,36604
Colorado,2008,4890
Connecticut,2008,3546
District of Columbia,2008,580
Delaware,2008,884
