state_name,year,rgdp_millions
Oklahoma,2001,128721
Oregon,2001,136688
Pennsylvania,2001,544791
Rhode Island,2001,45918
South Carolina,2001,151105
South Dakota,2001,29746
Tennessee,2001,232723
Texas,2001,1021889
Utah,2001,93887
Virginia,2001,358518
Vermont,2001,23714
Washington,2001,305055
Wisconsin,2001,236113
West Virginia,2001,62017
Wyoming,2001,29241
United States,2001,13262100
Alaska,2002,42881
Alabama,2002,160870
Arkansas,2002,92885
Arizona,2002,219311
California,2002,1743651
Colorado,2002,236786
Connecticut,2002,219959
District of Columbia,2002,91195
Delaware,2002,56814
Florida,2002,685304
Georgia,2002,400092
Hawaii,2002,57912
Iowa,2002,124097
Idaho,2002,47208
Illinois,2002,647868
Indiana,2002,265106
Kansas,2002,115552
Kentucky,2002,155676
Louisiana,2002,213146
Massachusetts,2002,364797
Maryland,2002,270885
Maine,2002,50633
Michigan,2002,435250
Minnesota,2002,252414
Missouri,2002,246813
Mississippi,2002,88124
Montana,2002,32527
North Carolina,2002,366035
North Dakota,2002,26370
Nebraska,2002,79665
New Hampshire,2002,59041
New Jersey,2002,487050
New Mexico,2002,74275
Nevada,2002,110020
New York,2002,1102140
Ohio,2002,514752
Oklahoma,2002,131078
Oregon,2002,139698
Pennsylvania,2002,550247
Rhode Island,2002,47611
South Carolina,2002,154698
South Dakota,2002,32958
Tennessee,2002,240522
Texas,2002,1041811
Utah,2002,95693
Virginia,2002,362262
Vermont,2002,24455
Washington,2002,310338
Wisconsin,2002,240996
West Virginia,2002,62805
Wyoming,2002,29876
United States,2002,13493100
Alaska,2003,42150
Alabama,2003,164992
Arkansas,2003,96545
Arizona,2003,233342
California,2003,1825424
Colorado,2003,238540
Connecticut,2003,222240
District of Columbia,2003,93025
Delaware,2003,57957
Florida,2003,715436
Georgia,2003,410588
Hawaii,2003,60838
Iowa,2003,129316
Idaho,2003,48536
Illinois,2003,655835
Indiana,2003,275194
Kansas,2003,117478
Kentucky,2003,159180
Louisiana,2003,221240
Massachusetts,2003,373814
Maryland,2003,277950
Maine,2003,51728
Michigan,2003,443795
Minnesota,2003,263869
Missouri,2003,251788
Mississippi,2003,91715
Montana,2003,33843
North Carolina,2003,374503
North Dakota,2003,27994
Nebraska,2003,84120
New Hampshire,2003,61610
New Jersey,2003,499695
New Mexico,2003,77132
Nevada,2003,115571
New York,2003,1104937
Ohio,2003,522649
Oklahoma,2003,133084
Oregon,2003,145585
Pennsylvania,2003,562436
Rhode Island,2003,49374
South Carolina,2003,160138
South Dakota,2003,33657
Tennessee,2003,247824
Texas,2003,1048299
Utah,2003,97649
Virginia,2003,376114
Vermont,2003,25301
Washington,2003,316224
Wisconsin,2003,247867
West Virginia,2003,62839
Wyoming,2003,30612
United States,2003,13879100
Alaska,2004,43735
Alabama,2004,175508
Arkansas,2004,101210
Arizona,2004,243246
California,2004,1902319
Colorado,2004,240798
Connecticut,2004,237133
District of Columbia,2004,97798
Delaware,2004,60682
Florida,2004,757054
Georgia,2004,429314
Hawaii,2004,64928
Iowa,2004,139749
Idaho,2004,51241
Illinois,2004,673262
Indiana,2004,284656
Kansas,2004,117882
Kentucky,2004,163436
Louisiana,2004,231602
Massachusetts,2004,383487
Maryland,2004,292115
Maine,2004,53530
Michigan,2004,444198
Minnesota,2004,274713
Missouri,2004,257259
Mississippi,2004,93651
Montana,2004,35375
North Carolina,2004,388700
North Dakota,2004,28267
Nebraska,2004,86082
New Hampshire,2004,63499
New Jersey,2004,507585
New Mexico,2004,82843
Nevada,2004,128884
New York,2004,1132504
Ohio,2004,534359
Oklahoma,2004,137436
Oregon,2004,152798
Pennsylvania,2004,578034
Rhode Island,2004,51583
South Carolina,2004,162238
South Dakota,2004,35071
Tennessee,2004,259337
Texas,2004,1102696
Utah,2004,102725
Virginia,2004,393446
Vermont,2004,26564
Washington,2004,322003
Wisconsin,2004,256003
West Virginia,2004,63721
