state_name,year,tempc,co2_emissions,population_thousands,rgdp_millions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,drought,flooding,freeze,severe_storm,tropical_cyclone,wildfire,winter_storm,state_abb,tempf,pe_totalrenew
Oregon,1997,8.754629629629628,35.9,3304,118539,16363,358191,193771,0,52574,435,476985,601,0,0,1,0,0,0,0,0,OR,47.75833333333333,530595
Pennsylvania,1997,8.870370370370372,276.0,12228,495814,1569642,1312478,730639,709967,95749,415,22970,509,0,0,0,0,1,0,0,0,PA,47.96666666666667,119643
Rhode Island,1997,9.689814814814817,13.6,1025,40158,71,102259,120513,0,4230,0,77,40,0,0,0,0,1,0,0,0,RI,49.44166666666667,4347
South Carolina,1997,16.75462962962963,71.4,3860,134908,361385,435897,158673,471343,101635,114,30212,23,0,0,0,0,0,0,0,0,SC,62.15833333333333,131983
South Dakota,1997,7.1064814814814845,13.3,744,24976,42942,111749,36772,0,3974,311,92042,0,0,0,1,0,0,0,0,0,SD,44.79166666666667,96328
Tennessee,1997,13.800925925925927,122.4,5499,210844,680608,637049,291824,258656,49002,37,112731,61,0,0,0,0,1,0,0,0,TN,56.84166666666667,161831
Texas,1997,17.73611111111111,668.0,19740,872763,1523201,5863047,4231566,392031,106311,451,18289,494,828,0,0,0,1,0,0,0,TX,63.925,126373
Utah,1997,8.99074074074074,61.0,2120,80682,375105,245399,172248,0,4397,2226,13728,51,0,0,0,0,0,0,0,0,UT,48.18333333333333,20402
Virginia,1997,12.5,110.1,6829,301623,432781,799733,259571,284220,115131,305,10420,138,0,0,0,0,0,0,0,0,VA,54.5,125994
Vermont,1997,5.0370370370370345,6.5,597,20026,2695,86534,8309,44776,9024,0,10902,23,0,0,0,0,1,0,0,0,VT,41.066666666666656,19949
Washington,1997,8.393518518518519,75.5,5675,271601,80465,822643,268141,65526,96456,241,1063894,355,0,0,1,0,0,0,0,0,WA,47.10833333333333,1160946
