State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute,Percent,Absolute
Alabama,110.5,114.9,121.7,126.2,124.2,132,138.1,134.9,134.2,136.7,142.9,134.2,139.2,140.3,142.6,144.3,146.6,148.2,140.4,120.7,133.5,130.6,123.8,121.5,123.8,120.6,115.5,109.7,113.5,2.70%,3,3.50%,3.8
Alaska,34.7,35.3,36.8,36.6,36.4,41.1,42,42.1,43.2,43.7,44.4,43.5,43.7,43.7,46.9,48.2,45.9,44.2,39.6,38,39,38.8,38.3,36.2,35.2,36.3,35.1,34.6,35.2,1.40%,0.5,1.70%,0.6
Arizona,63.2,64.1,66.9,69.2,71.9,66.8,68.7,71.8,76.8,80.6,86.4,88.7,88.1,90.1,97.1,97.2,100.3,102.3,102.6,93.8,95.7,93.8,91.8,95.7,93.6,91.3,87.4,86.5,90.4,43.10%,27.2,4.40%,3.8
Arkansas,51.2,50.1,51.7,50.8,54.7,58.1,60.7,59.6,61.1,63.3,63.8,63,61.5,62.3,62.7,60.4,62.2,63.5,64.4,61.7,66.1,67.6,66.3,68.8,69.4,59.5,62.7,64.6,71.5,39.70%,20.3,10.60%,6.8
California,359.2,346.7,351.1,340.4,356.6,345.4,344,346.5,357.1,360.6,376.8,381.3,379.7,368.7,386.6,383.8,392.2,397.2,381.2,368,362.7,348.6,353.1,356,353.1,360.7,361.2,363,363,1.10%,3.8,0.00%,0
Colorado,66.2,67.5,68.5,72.2,72.6,72.7,75.6,75.7,78,79.9,85,93.1,91.3,90.8,93.7,95.9,96.9,99.5,97.6,93.5,95.9,92.2,91.1,91.8,92.3,91,87.7,88.1,89.4,35.00%,23.2,1.50%,1.3
Connecticut,40.9,40.1,40.4,38.4,37.7,37,39.8,42.8,40.4,41.6,43,41.7,40.1,42.8,44.6,44.1,41.1,40.2,37.7,35.9,36.3,34.9,34.1,34.9,35.2,36.5,34.3,33.8,37.2,-9.10%,-3.7,10.00%,3.4
Delaware,16.7,17.5,16.4,17.8,17.1,16.2,16.8,15.4,15,15.2,16,15.5,15.3,15.8,16.1,16.8,15.8,16.6,15.7,12,11.3,12.3,13.4,13.1,12.8,12.9,13.4,12.5,12.6,-24.60%,-4.1,1.30%,0.2
District of Columbia,4.5,4.4,4.4,4.5,4.5,4.4,4.4,4.3,4.1,4.2,4.3,4.1,4.2,3.9,4,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.7,2.8,3,3,2.8,2.6,2.9,-35.50%,-1.6,10.80%,0.3
Florida,189.2,190.4,192.8,195.9,203.3,208.5,214.2,219.3,232.4,231.8,240.2,239,242.4,246.7,258.1,261.4,259.7,257.4,239,224.7,242.8,229.7,223.4,222.5,228.3,232.6,230.4,229.4,231.2,22.20%,42,0.80%,1.8
Georgia,139.8,131.9,131.3,140.6,143.5,151.9,156.2,157.1,158.3,160.8,169.2,161.4,166.3,169.5,174.8,185.3,182.6,185.3,172.6,162.7,172.3,157,136.6,135,140.1,137.4,136.6,133.5,133.2,-4.70%,-6.6,-0.20%,-0.3
Hawaii,21.7,19.7,20.8,19,20.4,20.4,19.3,18.8,18.8,18.5,18.8,19.3,20.5,21.5,22.5,23.1,23.3,24.2,19.4,19,19.1,19.6,19,18.6,18.5,18.7,18.7,17.9,18.7,-14.00%,-3,4.60%,0.8
Idaho,11.4,12.1,11.4,12.5,12.6,13.4,14,13.8,14.1,15,15.7,15.6,15,14.4,15.6,15.8,15.8,16.3,15.5,15.2,16,15.8,15.7,17.2,16.7,17.9,18.4,18.6,19,67.20%,7.6,2.00%,0.4
Illinois,191.9,191.9,187.6,204.1,204.2,208.3,222.1,225.4,215.6,225.5,232.8,224.1,226.6,230.3,237.5,243.8,235.6,243.2,241.7,226.6,231.6,230.4,217.5,231,234.1,216.4,204.8,203.2,210.4,9.60%,18.5,3.60%,7.2
Indiana,205.6,202.1,198.8,203.5,203,208.4,212.9,217.1,218,224,237.9,227.5,230.6,236.8,236.2,235.2,232.9,232.7,228.3,205.4,217.8,210.4,195.7,201.2,206.7,187.2,183.2,178.1,191.2,-7.00%,-14.4,7.40%,13.1
Iowa,62.9,64.9,63.5,67.6,68.7,72.2,74.2,73.4,77.3,78.4,79.5,78.4,79.1,78.8,80.9,80.9,82.2,87.4,91.2,86.3,90.7,87.6,81.5,82.8,83.9,77.8,74.4,76.7,82.6,31.30%,19.7,7.70%,5.9
Kansas,69.4,68,65.6,71.1,71.5,68.9,74.5,71.4,70.5,74.1,75.9,71.7,76.8,78.6,75.6,72.1,72.3,80,74.6,72.9,72.6,70.8,66,69.7,70,64.2,62.2,58.6,62.4,-10.00%,-6.9,6.50%,3.8
Kentucky,118.2,118.4,121.4,132.6,130.5,136,137.2,141.7,139,143.2,144.5,146,146.7,143,148.4,150.7,153,153.5,151.1,140.7,150.2,149.1,137.6,137.2,138.5,129,124.3,114.9,120.9,2.20%,2.6,5.20%,5.9
Louisiana,195.9,195.2,201.8,205,211.3,211.1,215.1,222,206.8,206.4,224.7,197.7,206.9,202.7,212.4,205.1,211.6,212.4,214.2,200.1,212.7,215.8,204.7,198.2,197.1,200.5,203,211.4,211,7.70%,15.1,-0.20%,-0.4
Maine,19.1,18.6,19.5,19,20.4,19,19.6,19.8,19.4,20.5,22.4,22.5,24,23.7,24,23.1,21.3,21,19.1,18.4,18.1,17.6,15.8,16.6,16.7,16.9,16.5,15.6,15,-21.70%,-4.2,-3.90%,-0.6
Maryland,70.2,69,66.8,69.2,70.3,69.8,71.9,72.2,74.8,77.3,77.6,77.3,77.4,80.3,81,83.2,78.2,78.5,74.7,71.4,70.1,65.4,60.8,60.1,62.5,60.5,58.6,52.8,59.5,-15.20%,-10.7,12.60%,6.7
Massachusetts,83.9,82.6,84.5,81.6,81.7,79,79.7,85.9,83.9,81.4,82.5,82.4,83.3,84.7,83,84.6,76.6,79.9,76.7,70.3,71.8,68,61.7,65.6,63.8,65.6,64,64,63.1,-24.70%,-20.8,-1.40%,-0.9
Michigan,181.3,179.8,178.7,178.8,186.6,189.5,194.9,192.2,191.4,199.5,194.6,190.4,189.7,186.6,189,191.2,179.9,182,175.7,164.7,165.4,160.2,153.4,162.2,162.1,162.3,152.2,153.6,162.3,-10.50%,-19,5.70%,8.8
Minnesota,78.8,78.9,80.3,84.7,86.3,89.1,94,91.6,91.6,92.4,97.7,94.7,97.3,101.4,100.7,101.8,99,100.6,100.1,92.4,92.2,91.9,86.9,89.8,95.1,88,89.6,89.1,92.7,17.60%,13.9,4.10%,3.6
Mississippi,48.7,48.5,48.5,50.7,50.5,51.9,54.8,55.7,56.7,61.7,61.3,70,62.6,64.3,65.8,64.1,66.1,68.2,64.7,60.6,65.5,60.6,62.4,60.7,64,65.2,69,68.3,69.5,42.70%,20.8,1.80%,1.3
